pathway	size	pval	padj	NES
REGULATION OF UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:2000058	142	0.014	0.0453	1.3981
SPINAL CORD INJURY%WIKIPATHWAYS_20240410%WP2431%HOMO SAPIENS	103	0.0002	0.0015	1.8304
MITOTIC CELL CYCLE PROCESS%GOBP%GO:1903047	450	3.6829e-10	2.1737e-8	-1.8196
INSULIN SIGNALING%WIKIPATHWAYS_20240410%WP481%HOMO SAPIENS	135	0.0019	0.01	1.6354
HAIR FOLLICLE DEVELOPMENT CYTODIFFERENTIATION PART 3 OF 3%WIKIPATHWAYS_20240410%WP2840%HOMO SAPIENS	82	0	0.0002	2.1378
REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0043370	46	0.0000025266	0	2.2434
PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145	78	0	0.0004	-1.9908
TRNA METABOLIC PROCESS%GOBP%GO:0006399	186	0.0039	0.017	-1.4265
DIMETHYLGLYCINE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000484	24	0.0013	0.0072	-1.8689
POSITIVE REGULATION OF CHEMOTAXIS%GOBP%GO:0050921	114	0.0004	0.0031	1.7536
MET IN TYPE 1 PAPILLARY RENAL CELL CARCINOMA%WIKIPATHWAYS_20240410%WP4205%HOMO SAPIENS	47	0.0002	0.0013	1.9893
NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009141	164	0	0.0002	-1.8182
PYRIMIDINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0072527	62	0.0034	0.0152	-1.6448
TRNA AMINOACYLATION%REACTOME DATABASE ID RELEASE 81%379724	42	0.0000054735	0.0001	-2.1736
PID_TCPTP_PATHWAY%MSIGDB_C2%PID_TCPTP_PATHWAY	33	0.0003	0.0025	2.0144
SMALL GTPASE-MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0007264	193	0.007	0.0271	1.4443
TRANSCRIPTIONAL REGULATION BY RUNX1%REACTOME DATABASE ID RELEASE 81%8878171	201	0.0006	0.0042	1.5871
PID_CD8_TCR_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_CD8_TCR_DOWNSTREAM_PATHWAY	60	0.0000024492	0	2.2449
DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	582	8.7405e-17	4.4518e-14	2.1724
PRIMARY HYPEROXALURIA II, PH2%SMPDB%SMP0000558	21	0.0107	0.0371	-1.6562
REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051983	126	3.2199e-7	0.0000081661	-2.0458
NON SMALL CELL LUNG CANCER%WIKIPATHWAYS_20240410%WP4255%HOMO SAPIENS	61	0.0108	0.0373	1.589
CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	39	0	0.0002	2.1835
RRNA METABOLIC PROCESS%GOBP%GO:0016072	195	0.001	0.0061	-1.4784
RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.6	112	0.0008	0.0046	-1.6478
REGULATION OF LYMPHOCYTE MEDIATED IMMUNITY%GOBP%GO:0002706	144	0.0000011523	0	1.9772
VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 81%192823	90	3.3783e-11	2.6667e-9	-2.4816
GLYPICAN 1 NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GLYPICAN 1 NETWORK	26	0.0006	0.004	1.9596
SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000567	22	0.011	0.0376	-1.715
CELLULAR RESPONSE TO HEAT%GOBP%GO:0034605	41	0.0035	0.0154	1.7938
REGULATION OF PLASMINOGEN ACTIVATION%GOBP%GO:0010755	17	0.003	0.014	1.839
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	80	0.0108	0.0373	-1.559
REGULATION OF CANONICAL NF-KAPPAB SIGNAL TRANSDUCTION%GOBP%GO:0043122	257	1.9224e-11	1.6549e-9	2.1396
POSITIVE REGULATION OF JUN KINASE ACTIVITY%GOBP%GO:0043507	27	0.0102	0.0361	1.6401
CLASS A 1 (RHODOPSIN-LIKE RECEPTORS)%REACTOME%R-HSA-373076.10	331	0.0014	0.0078	1.5808
POSITIVE REGULATION OF INTERFERON-ALPHA PRODUCTION%GOBP%GO:0032727	22	0.0026	0.0125	1.8465
UROTENSIN II MEDIATED SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP5158%HOMO SAPIENS	60	0.0032	0.0143	1.7464
REGULATORY CIRCUITS OF THE STAT3 SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP4538%HOMO SAPIENS	71	0.0001	0.0011	1.8997
JNK (C-JUN KINASES) PHOSPHORYLATION AND ACTIVATION MEDIATED BY ACTIVATED HUMAN TAK1%REACTOME%R-HSA-450321.4	18	0.0156	0.0494	1.6793
THYROID HORMONES PRODUCTION AND PERIPHERAL DOWNSTREAM SIGNALING EFFECTS%WIKIPATHWAYS_20240410%WP4746%HOMO SAPIENS	85	0.0045	0.019	1.6835
PEPTIDE LIGAND-BINDING RECEPTORS%REACTOME DATABASE ID RELEASE 81%375276	196	0.002	0.0103	1.6548
SIGNALING BY FLT3 ITD AND TKD MUTANTS%REACTOME%R-HSA-9703648.2	15	0.0159	0.0499	1.6664
REGULATION OF DNA REPLICATION%GOBP%GO:0006275	111	0.0002	0.0016	-1.6581
PID_ECADHERIN_NASCENT_AJ_PATHWAY%MSIGDB_C2%PID_ECADHERIN_NASCENT_AJ_PATHWAY	29	0.0013	0.0071	1.9156
REGULATION OF DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0090329	44	0	0.0004	-2.0967
NEGATIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045824	79	0.001	0.006	1.743
TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY%GOBP%GO:0034142	29	0	0.0005	2.1446
HEMOSTASIS%REACTOME%R-HSA-109582.5	675	0.0085	0.0311	1.3156
TOLL-LIKE RECEPTOR PATHWAY 1%PATHWHIZ%PW064909	33	0.0000070479	0.0001	2.2191
REGULATION OF DEVELOPMENTAL GROWTH%GOBP%GO:0048638	139	0.0001	0.0007	1.795
SIGNALING BY MET%REACTOME DATABASE ID RELEASE 81%6806834	64	0	0.0005	2.0022
CELLULAR ALDEHYDE METABOLIC PROCESS%GOBP%GO:0006081	52	0.0004	0.0029	-1.9089
G1 TO S CELL CYCLE CONTROL%WIKIPATHWAYS_20240410%WP45%HOMO SAPIENS	55	0.0022	0.0111	-1.7545
S PHASE%REACTOME DATABASE ID RELEASE 81%69242	163	2.7867e-7	0.0000072037	-1.9621
NICOTINAMIDE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0046496	97	0.01	0.0356	-1.5289
SARS-COV INFECTIONS%REACTOME DATABASE ID RELEASE 81%9679506	470	0.0002	0.0018	1.5013
CELLULAR RESPONSE TO VASCULAR ENDOTHELIAL GROWTH FACTOR STIMULUS%GOBP%GO:0035924	39	0.0001	0.0006	2.0826
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	174	1e-50	6.112e-47	3.624
REGULATION OF ERYTHROCYTE DIFFERENTIATION%GOBP%GO:0045646	37	0.0004	0.0028	1.9613
TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY P107 (RBL1) AND P130 (RBL2) IN COMPLEX WITH HDAC1%REACTOME%R-HSA-1362300.3	16	0.0008	0.0047	-1.9436
INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE BY P53 CLASS MEDIATOR%GOBP%GO:0042771	20	0.0138	0.0447	1.6567
VACUOLAR TRANSPORT%GOBP%GO:0007034	157	0.0001	0.0012	1.7411
GPCR LIGAND BINDING%REACTOME DATABASE ID RELEASE 81%500792	464	0.0054	0.0218	1.4658
CHEMOKINE SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP3929%HOMO SAPIENS	142	0.0001	0.0008	1.7986
MRNA DESTABILIZATION%GOBP%GO:0061157	77	0	0.0004	1.9471
VIRAL PROCESS%GOBP%GO:0016032	169	0.0014	0.0077	1.5794
PYRIDINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0019362	97	0.01	0.0356	-1.5289
NEGATIVE REGULATION OF PROTEIN PHOSPHORYLATION%GOBP%GO:0001933	214	0.0061	0.0241	1.4704
REGULATION OF MRNA CATABOLIC PROCESS%GOBP%GO:0061013	174	0.0000073391	0.0001	1.8456
PID_LYSOPHOSPHOLIPID_PATHWAY%MSIGDB_C2%PID_LYSOPHOSPHOLIPID_PATHWAY	51	0.0109	0.0375	1.621
PID_P38_MKK3_6PATHWAY%MSIGDB_C2%PID_P38_MKK3_6PATHWAY	20	0.0059	0.0236	1.7709
REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032651	84	0.0058	0.0233	1.6202
REGULATION OF MAPK CASCADE%GOBP%GO:0043408	533	2.8641e-9	1.3466e-7	1.7943
POSITIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051251	254	3.158e-8	0.0000010905	1.9793
PYRUVATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000117	21	0.0107	0.0371	-1.6562
ATR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATR SIGNALING PATHWAY	39	0.0005	0.0031	-1.8941
POSITIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002696	280	7.8122e-10	4.1884e-8	1.9992
REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001233	271	1.2431e-7	0.0000034852	1.8855
NUCLEAR MEMBRANE REASSEMBLY%GOBP%GO:0031468	25	0.0128	0.0423	1.6047
GAMMA CARBOXYLATION, HYPUSINYLATION, HYDROXYLATION, AND ARYLSULFATASE ACTIVATION%REACTOME DATABASE ID RELEASE 81%163841	61	0.0025	0.0123	-1.653
LEUKOCYTE MIGRATION%GOBP%GO:0050900	185	0	0.0002	1.7917
VALIDATED TRANSCRIPTIONAL TARGETS OF AP1 FAMILY MEMBERS FRA1 AND FRA2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TRANSCRIPTIONAL TARGETS OF AP1 FAMILY MEMBERS FRA1 AND FRA2	37	0.0003	0.0023	1.9904
CHROMOSOME ORGANIZATION INVOLVED IN MEIOTIC CELL CYCLE%GOBP%GO:0070192	41	0.0012	0.0068	-1.881
CHEMOTAXIS%GOBP%GO:0006935	263	0	0.0002	1.7573
GASTRIN_CCK2R_240212%PANTHER PATHWAY%P06959	131	0.000005359	0.0001	1.8985
RECIPROCAL MEIOTIC RECOMBINATION%GOBP%GO:0007131	52	0.0001	0.0009	-2.0279
ROOF OF MOUTH DEVELOPMENT%GOBP%GO:0060021	37	0.0015	0.0079	1.8149
RNA DESTABILIZATION%GOBP%GO:0050779	80	0	0.0003	1.9698
RAF MAP KINASE CASCADE%REACTOME DATABASE ID RELEASE 81%5673001	263	0.0005	0.0033	1.5443
PID_HIV_NEF_PATHWAY%MSIGDB_C2%PID_HIV_NEF_PATHWAY	30	0.0054	0.022	1.7781
REGULATION OF NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0051960	250	0.0008	0.005	1.5627
CELLULAR RESPONSE TO ORGANONITROGEN COMPOUND%GOBP%GO:0071417	339	0.0004	0.0029	1.5409
SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)	80	0.0006	0.0041	1.7616
DE NOVO PURINE BIOSYNTHESIS%PANTHER PATHWAY%P02738	26	0.0002	0.0014	-2.0586
SIGNAL TRANSDUCTION THROUGH IL1R%WIKIPATHWAYS_20240410%WP4496%HOMO SAPIENS	29	1.2292e-7	0.0000034621	2.41
CAMKK2 PATHWAY%WIKIPATHWAYS_20240410%WP4874%HOMO SAPIENS	29	0.0139	0.045	1.6826
MITOCHONDRIAL FATTY ACID BETA-OXIDATION%REACTOME%R-HSA-77289.7	38	0.0034	0.0154	-1.7547
P75NTR SIGNALS VIA NF-KB%REACTOME%R-HSA-193639.3	16	0.0001	0.0009	2.0943
SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2	66	0.0086	0.0316	1.591
CELLULAR SENESCENCE%REACTOME DATABASE ID RELEASE 81%2559583	161	0	0.0004	1.7884
DEOXYRIBOSE PHOSPHATE CATABOLIC PROCESS%GOBP%GO:0046386	19	0.0004	0.0028	-1.9532
NEGATIVE REGULATION OF NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0051961	66	0.002	0.0101	1.7756
POSITIVE REGULATION OF T CELL MEDIATED IMMUNITY%GOBP%GO:0002711	61	1.0123e-7	0.0000029746	2.3162
NEGATIVE REGULATION OF RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0032102	301	2.9278e-7	0.0000074874	1.8561
POSITIVE REGULATION OF CELL MOTILITY%GOBP%GO:2000147	482	5.3438e-11	4.0323e-9	1.9395
WARBURG EFFECT%SMPDB%SMP0087270	43	0.0093	0.0336	-1.6175
ACTIVATION OF IMMUNE RESPONSE%GOBP%GO:0002253	338	8.224e-10	4.3709e-8	2.0068
MACROPHAGE STIMULATING PROTEIN MSP SIGNALING NETWORK MAP%WIKIPATHWAYS_20240410%WP5353%HOMO SAPIENS	68	0.0006	0.004	1.7823
DNA REPAIR%GOBP%GO:0006281	395	1.3264e-11	1.2209e-9	-1.9521
MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20240410%WP4324%HOMO SAPIENS	51	0.012	0.0403	-1.5629
MITOTIC CELL CYCLE%GOBP%GO:0000278	522	1.213e-11	1.1406e-9	-1.8454
REGULATION OF EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0030856	109	0	0.0004	1.9348
TRNA AMINOACYLATION FOR PROTEIN TRANSLATION%GOBP%GO:0006418	38	0	0.0003	-2.1288
PORPHYRIN-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0006778	37	0.0043	0.0185	-1.7719
NEGATIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY%GOBP%GO:0043433	137	0.0074	0.0279	1.5514
IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002768	248	0.0000033058	0.0001	1.8154
MONOCARBOXYLIC ACID CATABOLIC PROCESS%GOBP%GO:0072329	94	0.0000014682	0	-2.0942
REGULATION OF PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL%GOBP%GO:1903320	204	0.0004	0.0027	1.6134
TRIOSEPHOSPHATE ISOMERASE DEFICIENCY%PATHWHIZ%PW000539	22	0.0024	0.012	-1.7847
POSITIVE REGULATION OF NEURON APOPTOTIC PROCESS%GOBP%GO:0043525	35	0.0156	0.0494	1.5646
REGULATION OF NEURON PROJECTION DEVELOPMENT%GOBP%GO:0010975	277	0.004	0.0173	1.4717
REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0033135	94	0.0005	0.0032	1.754
DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR (BCR)%REACTOME DATABASE ID RELEASE 81%1168372	80	0.0013	0.0073	1.7209
REGULATION OF INTERLEUKIN-6 PRODUCTION%GOBP%GO:0032675	116	0.0083	0.0306	1.5001
POSITIVE REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051347	323	0.0000068545	0.0001	1.6939
EARLY SARS-COV-2 INFECTION EVENTS%REACTOME%R-HSA-9772572.3	37	0.0043	0.0183	1.7666
PID_IL23_PATHWAY%MSIGDB_C2%PID_IL23_PATHWAY	32	8.0949e-8	0.0000024497	2.4031
REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002697	286	8.0298e-9	3.3387e-7	1.9726
POSITIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905820	28	0.0018	0.0094	-1.8764
POSITIVE REGULATION OF CELL MIGRATION%GOBP%GO:0030335	461	1.5748e-11	1.395e-9	1.954
PROTEIN MATURATION BY IRON-SULFUR CLUSTER TRANSFER%GOBP%GO:0097428	16	0.0153	0.0487	-1.6586
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	80	4.3374e-12	4.82e-10	-2.6541
POSITIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046635	54	0.0001	0.001	1.9734
STING PATHWAY IN KAWASAKI LIKE DISEASE AND COVID 19%WIKIPATHWAYS_20240410%WP4961%HOMO SAPIENS	20	0.0023	0.0116	1.8616
TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS COV 2 INFECTION%WIKIPATHWAYS_20240410%WP4868%HOMO SAPIENS	29	0.000001879	0	2.3197
PID_IL27_PATHWAY%MSIGDB_C2%PID_IL27_PATHWAY	23	0	0.0005	2.1485
AURKA ACTIVATION BY TPX2%REACTOME%R-HSA-8854518.4	71	0.0003	0.0022	-1.8148
BIOCARTA_IL6_PATHWAY%MSIGDB_C2%BIOCARTA_IL6_PATHWAY	18	0.0151	0.0481	1.6708
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	80	3.4488e-12	4.4428e-10	-2.6612
MITOTIC SPINDLE ASSEMBLY%GOBP%GO:0090307	48	0.0025	0.0123	-1.742
SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%BIOCYC%PWY66-5	24	0.0017	0.009	-1.8587
DEFECTIVE HOMOLOGOUS RECOMBINATION REPAIR (HRR) DUE TO PALB2 LOSS OF FUNCTION%REACTOME DATABASE ID RELEASE 81%9701193	25	0.0045	0.0189	-1.6882
ATF-2 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATF-2 TRANSCRIPTION FACTOR NETWORK	59	0.0000018926	0	2.1926
OVARIAN TUMOR DOMAIN PROTEASES%REACTOME DATABASE ID RELEASE 81%5689896	39	0.0000054069	0.0001	2.2197
PROTEIN UBIQUITINATION%REACTOME DATABASE ID RELEASE 81%8852135	75	0.0023	0.0116	1.6691
AMINO ACID METABOLIC PROCESS%GOBP%GO:0006520	235	0.0000047714	0.0001	-1.7633
NEUTROPHIL MIGRATION%GOBP%GO:1990266	53	0.0012	0.0068	1.8342
POSITIVE REGULATION OF LOCOMOTION%GOBP%GO:0040017	490	1.1193e-10	7.6868e-9	1.9209
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GOBP%GO:0000375	236	0.0039	0.0171	1.4609
NEGATIVE REGULATION OF ENDOPEPTIDASE ACTIVITY%GOBP%GO:0010951	74	0	0.0004	1.99
AORTIC VALVE DEVELOPMENT%GOBP%GO:0003176	44	0.0058	0.023	1.7406
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 81%975956	96	3.7952e-10	2.2092e-8	-2.4216
SARCOSINEMIA%SMPDB%SMP0000244	24	0.0013	0.0072	-1.8689
RAB GEFS EXCHANGE GTP FOR GDP ON RABS%REACTOME DATABASE ID RELEASE 81%8876198	89	0.0157	0.0496	1.4786
EXTRACELLULAR VESICLE MEDIATED SIGNALING IN RECIPIENT CELLS%WIKIPATHWAYS_20240410%WP2870%HOMO SAPIENS	24	0.0019	0.0098	1.8862
REGULATION OF RIG-I SIGNALING PATHWAY%GOBP%GO:0039535	19	0.0039	0.017	1.8204
RESPONSE TO TOPOLOGICALLY INCORRECT PROTEIN%GOBP%GO:0035966	100	0.0001	0.0009	1.8107
POSITIVE REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070665	116	1.4292e-7	0.0000038653	2.1215
CRISTAE FORMATION%REACTOME DATABASE ID RELEASE 81%8949613	31	0.0009	0.0056	-1.8264
REGULATION OF PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0043254	346	0.0036	0.0162	1.4119
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 81%2408522	117	1.2963e-13	3.7181e-11	-2.5822
EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007173	44	0.0007	0.0045	1.8843
CONSTITUTIVE SIGNALING BY ABERRANT PI3K IN CANCER%REACTOME DATABASE ID RELEASE 81%2219530	65	0.014	0.0454	1.6243
PEROXISOMAL LIPID METABOLISM%REACTOME DATABASE ID RELEASE 81%390918	24	0.0006	0.0041	-1.9584
REGULATION OF DNA-TEMPLATED TRANSCRIPTION INITIATION%GOBP%GO:2000142	72	0.002	0.0101	1.6817
RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009199	153	0.0002	0.0017	-1.6884
PID_CD8_TCR_PATHWAY%MSIGDB_C2%PID_CD8_TCR_PATHWAY	46	0.004	0.0175	1.808
POSITIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002833	285	3.8654e-12	4.5433e-10	2.1539
