gene	rank
SCAF8	7.6682
SPATA5L1	7.6675
KMT2E	7.6671
SNN	7.6662
SAMD14	7.6589
TP53INP2	7.6523
GADD45A	7.6439
PPP3CC	7.6428
YRDC	7.6309
ELL2	7.6274
UBAP1	7.6271
HINT3	7.6213
TYW5	7.617
ARIH1	7.617
MMP19	7.6118
PLA2G4C	7.6095
HCAR2	7.6086
CDK17	7.6083
PCGF5	7.6046
NCOA2	7.6011
SETD5	7.5956
TMEM167B	7.593
B4GALT5	7.589
DDX3Y	7.5878
UTY	7.58
PER1	7.5728
CDKN2AIP	7.5725
INO80D	7.5705
IL6ST	7.5698
ZNF326	7.5671
TTC39A	7.5664
P4HA2	7.5628
TMEM63B	7.5546
CEP120	7.5538
SIRT1	7.547
PTPRJ	7.5445
PATL1	7.5429
SESTD1	7.541
PIK3R5	7.5287
SEC24A	7.5203
HIVEP1	7.5197
IL12RB2	7.5191
CGN	7.5071
NECAP2	7.503
DIAPH2	7.501
FOSB	7.5
LATS1	7.4965
ITGAV	7.4928
ANKRD12	7.4922
OPTN	7.4917
EMSY	7.4915
RGPD2	7.4876
GTF2B	7.4875
PELI1	7.4825
MAN1A1	7.4771
PLAGL1	7.475
GRINA	7.4698
LYN	7.4674
FAM110B	7.4644
SRC	7.4581
FNIP2	7.4552
ACE	7.4523
BACH2	7.4497
FCAR.1	7.4488
RNF145	7.4393
CDC42SE1	7.4375
RGPD1	7.4355
MB21D2	7.4341
CIC	7.4318
YIPF1	7.4292
RND1	7.4249
IFNGR2	7.4122
PI4K2B	7.4115
STK26	7.4113
PRDM2	7.4089
RB1CC1	7.4084
KDM5A	7.3957
RPS6KA3	7.3923
DTNA	7.3891
TAF9	7.3802
ERO1B	7.3761
TIPARP	7.3754
ZSWIM4	7.3735
P4HA1	7.3708
LOC440896.1	7.37
MYO10	7.3683
TYW1B	7.3675
RAPGEF1	7.3658
EPC2	7.3627
CD44	7.3604
PANX1	7.358
GPD2	7.3564
OTUD1	7.3541
ROBO1	7.3506
BRD2	7.3505
EXT1	7.3475
PNRC2	7.3472
MTMR14	7.3466
PPIL4	7.3457
SEMA6D	7.3444
PIK3AP1	7.3435
PLAGL2	7.3415
EGFR	7.336
FTH1	7.3322
SLC8B1	7.332
NUMB	7.3238
DNAJB4	7.321
TBX3	7.3194
PPP2CB	7.312
NIPA1	7.3099
ABCB1	7.3098
KPNA4	7.3096
RBM17	7.304
AHR	7.2989
TLK2	7.295
OLFM2	7.2922
SLC30A7	7.2894
CCDC50	7.287
CEP350	7.2846
HSPA6	7.2825
HIVEP2	7.2819
IFRD1	7.2799
YTHDC1	7.2795
INTS6L	7.2786
SERINC1	7.2778
B3GNT5	7.2755
SEPTIN11	7.2723
WHAMM	7.2722
TRIB1	7.2708
RIOK3	7.2688
SNX9	7.2657
AKIRIN1	7.2637
SNAI1	7.2626
KDM2A	7.2584
KLF10	7.2584
MIR155HG	7.2568
MSC-AS1	7.255
CDC14A	7.2526
RYBP.1	7.2525
PEAK1	7.2519
GBP2	7.2485
CYB561	7.2451
FBRS	7.2429
AZIN1	7.2409
SNAP23	7.2401
ATF6	7.2367
ADAR	7.2309
TBC1D23	7.2286
KLF5	7.2266
FLVCR2	7.2232
AGFG1	7.2215
RNF11	7.2171
PSD3	7.2138
TAPBP.3	7.2095
FILIP1L	7.2093
GOSR1	7.208
CXCL11	7.2068
ITCH	7.2057
PDGFA	7.2054
JAK1	7.2008
WDR11	7.1977
RCAN1	7.196
ING3	7.1951
ZNF341-AS1	7.1938
ATP2B1-AS1	7.19
ABCA6	7.1807
CREBBP	7.1732
RBMXL1	7.172
PTPN1	7.1709
CYTH1	7.1707
TNFAIP8	7.1596
SECISBP2L	7.1549
WDR48	7.1548
NAF1	7.1526
ELOA	7.1511
NECAP1	7.149
H2AC19	7.1472
TEAD1	7.139
PGF	7.1387
CHD6	7.1379
AGPAT4	7.1353
NPAS2	7.1322
KPNA1	7.1281
GEM	7.1257
IKZF1	7.1201
SCYL2	7.1146
MAP1LC3A	7.1112
C21orf91	7.1112
TGFBR2	7.1094
GPBP1	7.1085
MET	7.1056
PUM1	7.1037
ECE1	7.0975
CCL3L1.1	7.0906
ZHX2	7.0904
ZBTB5	7.088
AK4	7.087
PDGFB	7.0844
H4C14	7.0814
AFTPH	7.0808
PRDM1	7.0801
NBPF12	7.0762
CCN2	7.0755
LRRC32	7.0746
PLAU	7.0695
SPATA2	7.0675
GUCY1B1	7.0669
YTHDF3	7.063
QKI	7.0569
DUSP2	7.0568
POMZP3	7.0476
LINC00622	7.0473
LATS2	7.0467
APLF	7.0419
RASSF5	7.0417
CCNT2	7.0409
RC3H2	7.0369
LOC102723996	7.0285
HLA-A.3	7.0264
NAMPT	7.0159
AEBP2	7.0139
BARX1-DT	7.012
CSF1	7.0083
ZNF622	7.0058
CA13	7.0046
SMG9	6.9991
SLC35G1	6.9991
ZNF24	6.9964
ACBD3	6.9937
SERTAD2	6.9919
ATP9A	6.991
CSNK1A1	6.9906
PRNP	6.9886
BRWD3	6.9836
BRD2.1	6.9827
MED13	6.9763
SMG1P5	6.9658
FSCN1	6.9585
KIF1B	6.956
MAP4K4	6.9411
CHD1	6.941
OGFRL1	6.9385
MOXD1	6.9357
PRR16	6.9307
VOPP1	6.9274
KMT5B	6.926
B4GALT4	6.922
PITPNB	6.9173
WDR26	6.9167
TCF7L2	6.9157
SGK1	6.9141
C3	6.9136
NOC3L	6.9075
TTN-AS1	6.8981
GJA3	6.8964
TMEM184C	6.8873
FBXO28	6.876
PDE9A	6.8681
GABPB1	6.8658
PLSCR1	6.8645
KMT2C	6.8637
SAP30BP	6.8624
MGLL	6.8564
CLK4	6.8557
TET3	6.8555
PLEKHM2	6.8551
CHIC2	6.8487
ANKRD42	6.847
ZFP36	6.8449
TFE3	6.8414
CCDC88A	6.8407
SPAG1	6.8403
TMEM106A	6.8376
STK17B	6.834
TRIM25	6.8323
SH2B3	6.8274
APPBP2	6.8241
USP9X	6.8225
ZBED6	6.8222
LCOR	6.8212
IFNAR2	6.8193
R3HCC1L	6.8135
YY1AP1	6.8131
IL12B	6.8123
WWC2	6.8122
RBM23	6.8033
GABARAPL1	6.8025
NAV3	6.7996
GIMAP5	6.7984
ANXA7	6.7967
HELZ	6.7962
SMG1P3	6.7932
NAB1	6.7922
RO60	6.7916
ZNF462	6.7895
SNHG15	6.7865
PIGV	6.7854
ATP11C	6.7851
ZNF597	6.7848
KLHL5	6.7842
ANXA1	6.7838
NGF	6.782
EIF1B	6.7803
PHF1.1	6.777
HBP1	6.7748
LIMS2	6.7708
BRD2.3	6.7658
MOB3C	6.7624
CHST2	6.7616
PPP1R18.1	6.761
RANBP10	6.7589
ABCA5	6.7565
MRAS	6.7543
CWC25	6.7539
MED14	6.7524
RAB9A	6.7476
GOLGB1	6.746
IST1	6.7401
MTMR10	6.7353
TAOK3	6.735
AGO2	6.7307
IRF7	6.726
UBC	6.7247
TEX14	6.723
CDK12	6.7208
ZNF706	6.7202
NAMPTP1	6.7173
GPATCH2L	6.7166
ATF7IP	6.7126
JAM2	6.7099
B2M.1	6.7089
KHNYN	6.707
ARMCX3	6.7065
FBXO38	6.6975
LTA	6.6937
MEF2A	6.6934
SUPT6H	6.6854
FAM205C	6.6838
FNIP1	6.6835
RASSF8	6.6821
EML4	6.6777
POFUT2	6.6767
COG3	6.6761
CELF1	6.676
LUZP1	6.6748
RGPD6	6.6719
GFPT2	6.6683
RHOH	6.6665
ODR4	6.6657
ZKSCAN1	6.6655
EGR1	6.6625
CCM2L	6.6619
STX5	6.6613
GADD45G	6.6597
XRN1	6.6589
MEOX2	6.6568
ARHGAP31	6.6559
BRD4	6.6547
PHACTR2	6.6499
SLC12A7	6.6453
LOC374443	6.6434
BCL3	6.6413
TAPBP.2	6.6383
ADORA2A-AS1	6.6376
MIER3	6.6365
CSRP2	6.636
CYFIP1	6.6333
JMJD6	6.6243
LARP1B	6.6195
PRRC2C	6.6166
MARCKSL1	6.6157
LOC285626	6.611
NFE2L3	6.6074
ANOS1	6.603
FLJ13224	6.6026
ICAM5	6.5922
SLU7	6.5912
DDX60L	6.5896
USP49	6.5879
PTBP2	6.5872
DNAJB1	6.5851
TAF1D	6.5847
SCAF4	6.5843
TIFA	6.5838
VILL	6.5831
MBOAT7	6.5822
HMGXB4	6.579
CHKA	6.5707
RABGGTB	6.5689
PICALM	6.5688
TNIP2	6.5659
TRPS1	6.5647
IL23A	6.5636
OAZ2	6.5631
NRP2	6.5623
UGCG	6.562
ZKSCAN8	6.5551
N4BP1	6.5537
RIF1	6.5525
LINC01775	6.5498
MARCHF5	6.5482
MGC12916	6.5468
AP3S2	6.5384
PEX13	6.5349
UPP1	6.5311
KLHL28	6.5279
TUBB2A	6.5229
DDX5	6.5218
DMXL1	6.5218
LAMA2	6.5201
NSUN4	6.5199
FRS2	6.5103
CPEB3	6.5094
ACTRT3	6.5069
MAP3K2	6.5058
ULBP2	6.5055
RNF185	6.5025
LNX1	6.5016
ZNF281	6.5006
STX4	6.5005
GPR89B	6.4999
ZNF212	6.4978
CEMIP2	6.496
PLIN2	6.492
TGIF2	6.4874
MED13L	6.481
PRPF3	6.479
DLL4	6.4787
MED1	6.477
ALDH1A1	6.4755
CGAS	6.4735
DLGAP4	6.4724
EYA3	6.4712
ZNF644	6.4702
NBPF26	6.4695
MKLN1	6.4661
MAP3K14	6.4651
CPNE8	6.4637
BCL2L11	6.4629
DNAJC3	6.4625
ZNF609	6.457
HELZ2	6.4555
CCL4L2	6.4548
IRGQ	6.4544
HOMER1	6.4538
PNKD	6.4481
ARHGAP26	6.4454
ZNF222	6.4447
LZTS3	6.4438
UBE2W	6.4417
SLC1A2	6.4371
FOXC1	6.4347
CLIC4	6.4309
MAP3K7	6.4308
HOOK3	6.4284
MTRF1L	6.4271
ERBIN	6.4256
RALGAPA1	6.4209
GPC4	6.4204
UBXN7	6.4185
MAPRE3	6.4168
DSC3	6.4159
RICTOR	6.4115
PAFAH1B1	6.4112
AMBRA1	6.4108
LAMP3	6.4076
GINM1	6.4063
GRHL1	6.4028
UBR2	6.3986
MCOLN3	6.3977
SERTAD1	6.3962
MTMR3	6.3943
NUP98	6.3941
PARP14	6.3891
SDE2	6.3886
RAB2B	6.3886
KAT6A	6.3886
STRN3	6.3871
GPR108	6.375
RPL7P50	6.3749
IGFBP3	6.3728
CCDC73	6.3725
GNG4	6.3659
ARRDC3	6.3647
MROCKI	6.3635
CIDECP1	6.3635
FBXL3	6.3611
THAP2	6.3606
NRIP3	6.36
TUFT1	6.3576
PCDH19	6.3567
RELA	6.3566
ACOD1	6.3565
RUFY1	6.3565
HEY1	6.3558
PHLDA2	6.354
TBC1D10A	6.3526
HDAC9	6.3513
VEZF1	6.351
ADO	6.3505
GLS	6.3487
TIMM23B	6.3485
MIR17HG	6.3459
ATG7	6.3458
ITPR2	6.3456
RAB1A	6.344
ZNF430	6.3374
CBLN3	6.3369
PIK3C3	6.3329
FCAR.2	6.3302
SMPD4BP	6.3212
IKBKE	6.3204
TBC1D22B	6.3194
OASL	6.3176
ARAP2	6.3121
STAT1	6.3097
PDRG1	6.306
CDH7	6.3041
ITSN2	6.3016
SYT16	6.2998
SERPINB9	6.2971
SLC5A3	6.294
AKAP8L	6.2936
STK17A	6.2921
RRN3P2	6.2906
DNAJB14	6.2905
OXSR1	6.286
VEGFC	6.2816
FJX1	6.2811
CCDC117	6.28
TANC1	6.2799
CLINT1	6.2746
NEMP1	6.274
TNFRSF10B	6.2712
GBP1P1	6.268
PIGA	6.2651
DUSP8.1	6.2635
C1orf52	6.2618
IDO2	6.2614
NBPF10	6.2599
S100A10	6.2596
COQ10B	6.2575
HSPA1B.2	6.2572
SOCS4	6.2567
BAZ1A	6.2554
EFNA1	6.2539
BCL10	6.2533
PTPRC	6.2518
DCAF8	6.2507
MAPK1IP1L	6.2501
NAT1	6.2494
SPPL2A	6.2493
YME1L1	6.246
FAM151B	6.2453
MECP2	6.2429
SMURF1	6.2371
RAPGEF6	6.2259
GOLGA4	6.2257
TLR2	6.2243
DYNLT3	6.2241
ABCA1	6.2221
ZFYVE16	6.2202
EGR4	6.2171
IRS2	6.2166
SMNDC1	6.2125
KLHL38	6.211
HNRNPC	6.2106
SAMD8	6.2091
HSPA4	6.2086
NSRP1	6.2065
ARID4A	6.2036
GPATCH8	6.2018
KIAA1549	6.2017
USP54	6.2011
SS18	6.2006
SIRPA	6.1997
SENP1	6.1975
TAF4B	6.1961
TWSG1	6.1923
RAET1K	6.19
MICALL1	6.1879
PPP6R3	6.1875
AREG	6.1823
LSS.1	6.1817
USP24	6.1804
LINC01136	6.1711
GPR176	6.1702
PBX2.4	6.1697
MARK3	6.1679
HSPH1	6.1659
ULK2	6.1654
CTNND1	6.1631
CAB39	6.1613
FNBP4	6.1588
C6orf62	6.1571
FAM193A	6.1556
IL1A	6.155
RBM22	6.1545
CBLB	6.1538
INHBA	6.1453
OTULIN	6.1452
RHOG	6.1443
PNPLA1	6.1428
LOC101928674	6.1414
DTX2	6.1409
BIRC2	6.1398
EOMES	6.1371
CSNK1D	6.137
PPP1R12A	6.1369
S100A3	6.1357
TMEM200B	6.1351
RILPL2	6.1323
IRAK3	6.1323
F8A1	6.1306
PVR	6.1306
DDR2	6.1291
DDX47	6.1278
ZUP1	6.1268
PML	6.1261
GORAB	6.1209
TBC1D12	6.1185
DNAJA1	6.118
TNIP3	6.1159
SPHK1	6.115
SYNGAP1.1	6.114
SPRY1	6.1118
SLCO3A1	6.1109
KLF7	6.1106
TMEM165	6.1062
IL3RA	6.1055
NDUFAF6	6.1052
CBLL1	6.1035
SFPQ	6.101
NFATC1	6.1003
ATP11B	6.0996
REV3L	6.0985
UBE2D3	6.0982
GBP4	6.0947
CACHD1	6.0923
PPFIA2	6.0908
CDYL	6.086
HLA-F.4	6.0859
RAB12	6.0855
IL10RA	6.0825
RBM4	6.0751
MSX1	6.0738
TLN2	6.0734
C18orf25	6.071
IRF9	6.0698
MTCH1	6.0645
ST3GAL6	6.0633
CCRL2	6.0632
RHOB	6.0627
TMEM87A	6.0626
SAV1	6.0579
CYRIA	6.0576
PTTG1IP	6.0569
BCLAF1	6.056
OTUD5	6.0552
UHRF1BP1L	6.0533
PWWP2A	6.0533
INO80	6.053
ACSL5	6.052
LINC00926	6.052
MIER1	6.0518
EZH2	6.0494
BTBD8	6.0491
C1orf122	6.0464
PTGER4	6.044
H3-3B	6.0435
CRAMP1	6.0429
EIF5	6.0428
OLR1	6.0398
TMEM47	6.039
TRIM24	6.0386
TAF2	6.0325
NCOA4	6.0306
RPS2P36	6.0289
CNOT4	6.0246
SVIL	6.0242
ZFAND5	6.0166
ATXN1L	6.0161
SPTY2D1	6.0133
TOX4	6.0101
FAM95C	6.0098
IL4I1	6.0071
TFEB	6.0071
GPR89A	6.0043
MAST4	6.0042
TYK2	6.0036
MEFV	6.0014
PPM1D	6.0003
TTC23	5.9979
ZNF410	5.9975
DCUN1D1	5.9969
RNF2	5.9963
STK40	5.9955
PHF8	5.9951
GRIN1	5.9941
ORAI1	5.9931
IL13RA1	5.9912
IGFBP4	5.9895
TFG	5.9882
UBL3	5.9836
MED15	5.9816
ADA	5.9814
PSPC1	5.9782
SLAMF1	5.9778
NLGN4Y	5.9776
SIPA1L1	5.9774
CCNK	5.9772
ZNF335	5.9759
SAMD4B	5.9723
NRIP1	5.9706
C3orf52	5.9703
HLA-B.3	5.9685
ENTPD4	5.9677
USP42	5.9675
CNTLN	5.9669
SVIL-AS1	5.9651
ARHGEF2	5.9631
ZFX	5.9627
TAP1.1	5.9623
DDX52.1	5.9604
EFHD2	5.9561
RNF103	5.9552
RPS2P4	5.9538
PI4KB	5.9515
CCDC144B	5.9511
MAFB	5.9506
MAS1	5.9498
STX12	5.9496
RCOR1	5.9493
DIABLO	5.9485
UBE2B	5.9468
CDC42	5.9432
SLK	5.9425
TJP2	5.9425
PLAT	5.9411
DNAJB2	5.9409
RABGEF1	5.9382
DDX6	5.9363
ZNF134	5.9357
TRHDE	5.9346
ALCAM	5.9337
CHD2	5.9334
WAC	5.9329
SAMD4A	5.9326
NPTN-IT1	5.9308
NF1	5.9298
KDM5C	5.9282
ADPRH	5.9279
TM9SF4	5.9274
ZCCHC2	5.924
H1-2	5.9224
ZNF317	5.9204
FRMD7	5.9186
SOS1	5.9169
STAT3	5.9137
UBE2D1	5.9118
POLR3C	5.9112
TPPP	5.911
MAGT1	5.909
NRBF2	5.9065
ZFAND2A	5.9034
ZNF638	5.8995
IKZF5	5.8994
RBM48	5.8992
CFAP69	5.8966
RASL10A	5.8963
OTUD4	5.8957
TFPI2	5.8913
LINC02072	5.8907
TAF13	5.8899
AKIRIN2	5.8899
BID	5.8878
PPP1CB	5.8876
AKAP10	5.8864
VCPKMT	5.8845
TRA2A	5.8837
SLC66A2	5.8825
MTMR11	5.8796
ARIH2	5.879
BTBD19	5.879
TTF2	5.8784
NAB2	5.8779
MDM2	5.8776
SMCO4	5.8764
RALGAPB	5.8754
XAGE1A	5.8754
TMEM39A	5.875
COL5A2	5.8738
DDX58	5.8738
EIF1	5.8728
TAOK1	5.8727
TAF7	5.8709
PLPP1	5.8691
FAM133B	5.8678
H2BC4	5.8674
FOXO3	5.8671
S1PR2	5.8669
PPM1A	5.8632
ZMYM5	5.8598
SRSF11	5.8582
CSF3	5.8567
IER2	5.8541
ANKRD28	5.8497
SEC22B	5.8494
FBLN5	5.8481
LOC112268124	5.8465
ING1	5.8462
TLR7	5.8365
CSF2RB	5.8356
DPP8	5.8354
KBTBD2	5.8348
HUS1	5.834
LBH	5.8334
MX2	5.8315
STXBP5	5.8306
MRRF	5.8276
RBM5	5.8261
TP53I11	5.8244
PPP4R2	5.8226
ZC3H7A	5.8226
TXNL4B	5.8206
RNF115	5.8205
AVL9	5.8203
STAT6	5.8166
SNIP1	5.8163
NEMF	5.8149
CCL2	5.8124
ZNF383	5.811
BTN2A2	5.8106
FAM167A	5.8098
CRCP	5.8093
STRIP1	5.8083
GBP3	5.8077
OXTR	5.8073
AMMECR1L	5.807
PHF20L1	5.8058
LCP2	5.8044
ZDHHC17	5.8008
ZNF33A	5.7988
LRIF1	5.7981
FBXO11	5.794
PITPNA	5.7908
MTMR6	5.7871
LOC100133091	5.787
FEM1C	5.7868
DNAJB5	5.7834
IRS1	5.783
PBDC1	5.7822
MAML1	5.7808
ACER3	5.7795
ZFHX2	5.7751
PPP2CA	5.7748
TBK1	5.7727
SP2	5.7721
LINC01539	5.7698
NLGN3	5.7658
LOC107986114	5.7656
ERN1	5.7609
THBS1	5.758
YAF2	5.7574
ARFGEF2	5.7549
EBF1	5.7546
STAG2	5.7519
SRSF12	5.7516
POGZ	5.7507
NUB1	5.7507
ACOX1	5.7497
LINC00641	5.7482
GPR183	5.7457
KCND1	5.7451
HOXC10	5.7446
IFIT2	5.7415
PPM1B	5.7404
ALKBH1	5.7385
TMEM64	5.7379
CYP7A1	5.7369
ADGRE2	5.7365
IL10	5.7364
LINC02202	5.7359
DYRK1A	5.7351
BMP2K	5.7349
EPSTI1	5.7335
CDC42EP2	5.7321
CCSER2	5.7309
RARG	5.7303
PPP3CA	5.7293
RHBDF1	5.7293
CHORDC1	5.7292
MAGI3	5.7279
EEA1	5.7269
