GO.ID	Description	p.Val	FDR	Phenotype	Genes
REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0019219	regulation of nucleobase-containing compound metabolic process	1.986212718858912e-41	1.986212718858912e-41	+1	
REGULATION OF GENE EXPRESSION%GOBP%GO:0010468	regulation of gene expression	3.027194379625808e-41	3.027194379625808e-41	+1	
ORGANELLE ORGANIZATION%GOBP%GO:0006996	organelle organization	3.81387977587979e-40	3.81387977587979e-40	+1	
CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0044249	cellular biosynthetic process	1.1327112155072614e-39	1.1327112155072614e-39	+1	
DNA DAMAGE RESPONSE%GOBP%GO:0006974	DNA damage response	2.2963589291129046e-39	2.2963589291129046e-39	+1	
CELLULAR COMPONENT ORGANIZATION OR BIOGENESIS%GOBP%GO:0071840	cellular component organization or biogenesis	2.4097764696258398e-39	2.4097764696258398e-39	+1	
NUCLEAR PROTEIN-CONTAINING COMPLEX%GOCC%GO:0140513	nuclear protein-containing complex	5.169929598210123e-38	5.169929598210123e-38	+1	
MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0009059	macromolecule biosynthetic process	1.1576325349898684e-35	1.1576325349898684e-35	+1	
ORGANIC CYCLIC COMPOUND BINDING%GOMF%GO:0097159	organic cyclic compound binding	1.2115463941240916e-34	1.2115463941240916e-34	+1	
NUCLEOBASE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0034654	nucleobase-containing compound biosynthetic process	1.504053740860188e-34	1.504053740860188e-34	+1	
CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0016043	cellular component organization	3.557234182572059e-34	3.557234182572059e-34	+1	
GENE EXPRESSION%GOBP%GO:0010467	gene expression	2.518556434803175e-33	2.518556434803175e-33	+1	
POSITIVE REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031325	positive regulation of cellular metabolic process	4.155066025883495e-33	4.155066025883495e-33	+1	
NUCLEIC ACID BINDING%GOMF%GO:0003676	nucleic acid binding	1.7990681931732806e-32	1.7990681931732806e-32	+1	
REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051252	regulation of RNA metabolic process	2.2613836770193392e-32	2.2613836770193392e-32	+1	
NEGATIVE REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0010605	negative regulation of macromolecule metabolic process	4.174314047642949e-32	4.174314047642949e-32	+1	
NEGATIVE REGULATION OF METABOLIC PROCESS%GOBP%GO:0009892	negative regulation of metabolic process	1.0874725091329955e-31	1.0874725091329955e-31	+1	
CATALYTIC COMPLEX%GOCC%GO:1902494	catalytic complex	7.895805605053926e-30	7.895805605053926e-30	+1	
POSITIVE REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0045935	positive regulation of nucleobase-containing compound metabolic process	1.1335413254855763e-29	1.1335413254855763e-29	+1	
DNA METABOLIC PROCESS%GOBP%GO:0006259	DNA metabolic process	3.2012913462921e-29	3.2012913462921e-29	+1	
INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:0035556	intracellular signal transduction	1.1839407355398695e-28	1.1839407355398695e-28	+1	
RNA METABOLIC PROCESS%GOBP%GO:0016070	RNA metabolic process	1.8367880755691437e-28	1.8367880755691437e-28	+1	
POSITIVE REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031328	positive regulation of cellular biosynthetic process	1.5109743157250949e-27	1.5109743157250949e-27	+1	
POSITIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010557	positive regulation of macromolecule biosynthetic process	2.8789585628534886e-27	2.8789585628534886e-27	+1	
NEGATIVE REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031324	negative regulation of cellular metabolic process	4.9693609381517396e-27	4.9693609381517396e-27	+1	
RNA BINDING%GOMF%GO:0003723	RNA binding	6.728300346672821e-27	6.728300346672821e-27	+1	
REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:2001141	regulation of RNA biosynthetic process	8.683320583526934e-27	8.683320583526934e-27	+1	
ENZYME BINDING%GOMF%GO:0019899	enzyme binding	1.233364952885772e-26	1.233364952885772e-26	+1	
REGULATION OF DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0006355	regulation of DNA-templated transcription	1.3593925535797908e-26	1.3593925535797908e-26	+1	
TRANSFERASE ACTIVITY%GOMF%GO:0016740	transferase activity	2.1794767850992087e-26	2.1794767850992087e-26	+1	
POSITIVE REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009891	positive regulation of biosynthetic process	2.7985598038056415e-26	2.7985598038056415e-26	+1	
CELLULAR LOCALIZATION%GOBP%GO:0051641	cellular localization	3.5489433372336047e-26	3.5489433372336047e-26	+1	
REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009966	regulation of signal transduction	1.0628420363805507e-25	1.0628420363805507e-25	+1	
REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048583	regulation of response to stimulus	1.2496453734415124e-25	1.2496453734415124e-25	+1	
CELL CYCLE PROCESS%GOBP%GO:0022402	cell cycle process	2.1837184972426857e-25	2.1837184972426857e-25	+1	
NEGATIVE REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031327	negative regulation of cellular biosynthetic process	2.739457970986034e-25	2.739457970986034e-25	+1	
NUCLEIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0141187	nucleic acid biosynthetic process	3.256491537236415e-25	3.256491537236415e-25	+1	
REGULATION OF CELL CYCLE%GOBP%GO:0051726	regulation of cell cycle	3.7194847520861827e-25	3.7194847520861827e-25	+1	
NEGATIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010558	negative regulation of macromolecule biosynthetic process	4.770054904923033e-25	4.770054904923033e-25	+1	
MOLECULAR ADAPTOR ACTIVITY%GOMF%GO:0060090	molecular adaptor activity	8.691370662948905e-25	8.691370662948905e-25	+1	
NEGATIVE REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009890	negative regulation of biosynthetic process	9.918134306564026e-25	9.918134306564026e-25	+1	
RESPONSE TO STRESS%GOBP%GO:0006950	response to stress	1.0155664915804716e-24	1.0155664915804716e-24	+1	
DNA REPAIR%GOBP%GO:0006281	DNA repair	1.7633604836366293e-24	1.7633604836366293e-24	+1	
MITOCHONDRION%GOCC%GO:0005739	mitochondrion	2.0761797585006494e-24	2.0761797585006494e-24	+1	
PROTEIN METABOLIC PROCESS%GOBP%GO:0019538	protein metabolic process	2.3365252441060923e-24	2.3365252441060923e-24	+1	
MACROMOLECULE MODIFICATION%GOBP%GO:0043412	macromolecule modification	1.0778596778494834e-23	1.0778596778494834e-23	+1	
CELL CYCLE%GOBP%GO:0007049	cell cycle	1.5388333447153268e-23	1.5388333447153268e-23	+1	
MITOTIC CELL CYCLE PROCESS%GOBP%GO:1903047	mitotic cell cycle process	2.06033735868564e-23	2.06033735868564e-23	+1	
MITOTIC CELL CYCLE%GOBP%GO:0000278	mitotic cell cycle	2.9094253517525416e-23	2.9094253517525416e-23	+1	
POSITIVE REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051254	positive regulation of RNA metabolic process	7.025846337223894e-23	7.025846337223894e-23	+1	
GENE EXPRESSION (TRANSCRIPTION)%REACTOME%R-HSA-74160.9	Gene expression (Transcription)	8.594269482654763e-23	8.594269482654763e-23	+1	
REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051246	regulation of protein metabolic process	1.7812820514397972e-22	1.7812820514397972e-22	+1	
PROTEIN-MACROMOLECULE ADAPTOR ACTIVITY%GOMF%GO:0030674	protein-macromolecule adaptor activity	3.37939130511498e-22	3.37939130511498e-22	+1	
TRANSFERASE ACTIVITY, TRANSFERRING PHOSPHORUS-CONTAINING GROUPS%GOMF%GO:0016772	transferase activity, transferring phosphorus-containing groups	3.704663304137201e-22	3.704663304137201e-22	+1	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	5.133436320196862e-22	5.133436320196862e-22	+1	
REGULATION OF RESPONSE TO STRESS%GOBP%GO:0080134	regulation of response to stress	5.967282109505939e-22	5.967282109505939e-22	+1	
REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051128	regulation of cellular component organization	6.839546783326462e-22	6.839546783326462e-22	+1	
REGULATION OF SIGNALING%GOBP%GO:0023051	regulation of signaling	9.288221926980818e-22	9.288221926980818e-22	+1	
REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902531	regulation of intracellular signal transduction	1.822642695026268e-21	1.822642695026268e-21	+1	
REGULATION OF CELL COMMUNICATION%GOBP%GO:0010646	regulation of cell communication	1.9058579375519166e-21	1.9058579375519166e-21	+1	
RNA BIOSYNTHETIC PROCESS%GOBP%GO:0032774	RNA biosynthetic process	9.686997796437e-21	9.686997796437e-21	+1	
TRANSFERASE COMPLEX%GOCC%GO:1990234	transferase complex	1.2127756757012136e-20	1.2127756757012136e-20	+1	
REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051052	regulation of DNA metabolic process	8.300079213972681e-20	8.300079213972681e-20	+1	
PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0006793	phosphorus metabolic process	8.489314096020966e-20	8.489314096020966e-20	+1	
PHOSPHATE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0006796	phosphate-containing compound metabolic process	8.489314096020966e-20	8.489314096020966e-20	+1	
NUCLEAR BODY%GOCC%GO:0016604	nuclear body	8.918743883460132e-20	8.918743883460132e-20	+1	
PROTEIN MODIFICATION PROCESS%GOBP%GO:0036211	protein modification process	1.192292333913627e-19	1.192292333913627e-19	+1	
CELL CYCLE%REACTOME%R-HSA-1640170.5	Cell Cycle	1.7938241290242145e-19	1.7938241290242145e-19	+1	
NUCLEOLUS%GOCC%GO:0005730	nucleolus	1.9140259359845178e-19	1.9140259359845178e-19	+1	
REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0033043	regulation of organelle organization	1.9682522448433433e-19	1.9682522448433433e-19	+1	
ENDOMEMBRANE SYSTEM%GOCC%GO:0012505	endomembrane system	4.760857332773725e-19	4.760857332773725e-19	+1	
CENTROSOME%GOCC%GO:0005813	centrosome	6.96941559087516e-19	6.96941559087516e-19	+1	
MICROTUBULE CYTOSKELETON%GOCC%GO:0015630	microtubule cytoskeleton	8.158158012014381e-19	8.158158012014381e-19	+1	
REGULATION OF CELLULAR RESPONSE TO STRESS%GOBP%GO:0080135	regulation of cellular response to stress	1.3471352132452425e-18	1.3471352132452425e-18	+1	
CATABOLIC PROCESS%GOBP%GO:0009056	catabolic process	1.7382707437535947e-18	1.7382707437535947e-18	+1	
POSITIVE REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:1902680	positive regulation of RNA biosynthetic process	1.981669694417747e-18	1.981669694417747e-18	+1	
POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0045893	positive regulation of DNA-templated transcription	3.116325173615676e-18	3.116325173615676e-18	+1	
REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0010564	regulation of cell cycle process	3.2660119227304447e-18	3.2660119227304447e-18	+1	
CATALYTIC ACTIVITY, ACTING ON A NUCLEIC ACID%GOMF%GO:0140640	catalytic activity, acting on a nucleic acid	7.37044931036464e-18	7.37044931036464e-18	+1	
ESTABLISHMENT OF LOCALIZATION IN CELL%GOBP%GO:0051649	establishment of localization in cell	8.625821982900358e-18	8.625821982900358e-18	+1	
RNA POLYMERASE II TRANSCRIPTION%REACTOME%R-HSA-73857.7	RNA Polymerase II Transcription	1.072585734120999e-17	1.072585734120999e-17	+1	
MICROTUBULE ORGANIZING CENTER%GOCC%GO:0005815	microtubule organizing center	3.2326155687141127e-17	3.2326155687141127e-17	+1	
REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0007346	regulation of mitotic cell cycle	3.618424706610234e-17	3.618424706610234e-17	+1	
LOCALIZATION%GOBP%GO:0051179	localization	4.83094549083821e-17	4.83094549083821e-17	+1	
CHROMOSOME%GOCC%GO:0005694	chromosome	5.038514098751847e-17	5.038514098751847e-17	+1	
NEGATIVE REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0045934	negative regulation of nucleobase-containing compound metabolic process	5.840507664429033e-17	5.840507664429033e-17	+1	
NEGATIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902532	negative regulation of intracellular signal transduction	5.935658652878326e-17	5.935658652878326e-17	+1	
ORGANELLE MEMBRANE%GOCC%GO:0031090	organelle membrane	1.1008283418209594e-16	1.1008283418209594e-16	+1	
MACROMOLECULE LOCALIZATION%GOBP%GO:0033036	macromolecule localization	2.684752896324303e-16	2.684752896324303e-16	+1	
KINASE ACTIVITY%GOMF%GO:0016301	kinase activity	2.7175885784018267e-16	2.7175885784018267e-16	+1	
INTRACELLULAR PROTEIN-CONTAINING COMPLEX%GOCC%GO:0140535	intracellular protein-containing complex	3.406759118275228e-16	3.406759118275228e-16	+1	
MACROMOLECULE CATABOLIC PROCESS%GOBP%GO:0009057	macromolecule catabolic process	3.93854995446767e-16	3.93854995446767e-16	+1	
CELLULAR MACROMOLECULE LOCALIZATION%GOBP%GO:0070727	cellular macromolecule localization	6.356201363363723e-16	6.356201363363723e-16	+1	
CELL CYCLE, MITOTIC%REACTOME%R-HSA-69278.6	Cell Cycle, Mitotic	7.623335331674791e-16	7.623335331674791e-16	+1	
REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901987	regulation of cell cycle phase transition	7.916514511299909e-16	7.916514511299909e-16	+1	
CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044085	cellular component biogenesis	8.473131264057303e-16	8.473131264057303e-16	+1	
NEGATIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048585	negative regulation of response to stimulus	1.0391713169074771e-15	1.0391713169074771e-15	+1	
PROTEIN LOCALIZATION%GOBP%GO:0008104	protein localization	1.609946500869689e-15	1.609946500869689e-15	+1	
SIGNALING BY RHO GTPASES%REACTOME DATABASE ID RELEASE 78%194315	Signaling by Rho GTPases	3.003464896511802e-15	3.003464896511802e-15	+1	
INTRACELLULAR TRANSPORT%GOBP%GO:0046907	intracellular transport	3.039170239111518e-15	3.039170239111518e-15	+1	
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009968	negative regulation of signal transduction	3.099843038314673e-15	3.099843038314673e-15	+1	
SIGNALING BY RHO GTPASES, MIRO GTPASES AND RHOBTB3%REACTOME DATABASE ID RELEASE 78%9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	3.272833189528548e-15	3.272833189528548e-15	+1	
REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901990	regulation of mitotic cell cycle phase transition	6.489251880300489e-15	6.489251880300489e-15	+1	
PHOSPHOTRANSFERASE ACTIVITY, ALCOHOL GROUP AS ACCEPTOR%GOMF%GO:0016773	phosphotransferase activity, alcohol group as acceptor	6.9221228358155134e-15	6.9221228358155134e-15	+1	
POSITIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048584	positive regulation of response to stimulus	7.192712822442417e-15	7.192712822442417e-15	+1	
CHROMOSOME ORGANIZATION%GOBP%GO:0051276	chromosome organization	9.638823967424577e-15	9.638823967424577e-15	+1	
POSITIVE REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051247	positive regulation of protein metabolic process	9.886531045553118e-15	9.886531045553118e-15	+1	
CATALYTIC ACTIVITY, ACTING ON A PROTEIN%GOMF%GO:0140096	catalytic activity, acting on a protein	9.93194670281335e-15	9.93194670281335e-15	+1	
NEGATIVE REGULATION OF SIGNALING%GOBP%GO:0023057	negative regulation of signaling	1.0258085366588744e-14	1.0258085366588744e-14	+1	
REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0006357	regulation of transcription by RNA polymerase II	1.0263148569580755e-14	1.0263148569580755e-14	+1	
NEGATIVE REGULATION OF CELL COMMUNICATION%GOBP%GO:0010648	negative regulation of cell communication	1.183206280670791e-14	1.183206280670791e-14	+1	
POSITIVE REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051054	positive regulation of DNA metabolic process	2.1537022010890337e-14	2.1537022010890337e-14	+1	
GENERIC TRANSCRIPTION PATHWAY%REACTOME%R-HSA-212436.13	Generic Transcription Pathway	2.382794640971956e-14	2.382794640971956e-14	+1	
CHROMOSOMAL REGION%GOCC%GO:0098687	chromosomal region	4.258213724672561e-14	4.258213724672561e-14	+1	
CELLULAR RESPONSES TO STRESS%REACTOME DATABASE ID RELEASE 78%2262752	Cellular responses to stress	5.3294246549037e-14	5.3294246549037e-14	+1	
REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0065009	regulation of molecular function	5.699842871203022e-14	5.699842871203022e-14	+1	
REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009894	regulation of catabolic process	6.168945020616217e-14	6.168945020616217e-14	+1	
DISEASE%REACTOME%R-HSA-1643685.19	Disease	9.274379668969835e-14	9.274379668969835e-14	+1	
ORGANELLE ENVELOPE%GOCC%GO:0031967	organelle envelope	1.3207539573225753e-13	1.3207539573225753e-13	+1	
NEGATIVE REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051253	negative regulation of RNA metabolic process	1.729869749937746e-13	1.729869749937746e-13	+1	
CATALYTIC ACTIVITY, ACTING ON DNA%GOMF%GO:0140097	catalytic activity, acting on DNA	2.0773678473837215e-13	2.0773678473837215e-13	+1	
NEGATIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010629	negative regulation of gene expression	2.6738994607427695e-13	2.6738994607427695e-13	+1	
VESICLE-MEDIATED TRANSPORT%GOBP%GO:0016192	vesicle-mediated transport	3.4839371692364026e-13	3.4839371692364026e-13	+1	
REGULATION OF PROGRAMMED CELL DEATH%GOBP%GO:0043067	regulation of programmed cell death	8.724084264678444e-13	8.724084264678444e-13	+1	
CELLULAR RESPONSES TO STIMULI%REACTOME%R-HSA-8953897.8	Cellular responses to stimuli	1.133698404757355e-12	1.133698404757355e-12	+1	
REGULATION OF DNA REPAIR%GOBP%GO:0006282	regulation of DNA repair	1.827996547608866e-12	1.827996547608866e-12	+1	
MODIFICATION-DEPENDENT PROTEIN BINDING%GOMF%GO:0140030	modification-dependent protein binding	1.8623737557627355e-12	1.8623737557627355e-12	+1	
RNA PROCESSING%GOBP%GO:0006396	RNA processing	2.682547821027848e-12	2.682547821027848e-12	+1	
NEGATIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0045892	negative regulation of DNA-templated transcription	2.7076574176430475e-12	2.7076574176430475e-12	+1	
SIGNALING PATHWAYS%REACTOME%R-HSA-162582.13	Signaling Pathways	3.239218912401577e-12	3.239218912401577e-12	+1	
NEGATIVE REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:1902679	negative regulation of RNA biosynthetic process	3.80777920002746e-12	3.80777920002746e-12	+1	
PRIMARY METABOLIC PROCESS%GOMF%GO:0044238	primary metabolic process	3.8655163174037324e-12	3.8655163174037324e-12	+1	
POST-TRANSCRIPTIONAL REGULATION OF GENE EXPRESSION%GOBP%GO:0010608	post-transcriptional regulation of gene expression	4.648078316675307e-12	4.648078316675307e-12	+1	
CYTOKINE SIGNALING IN IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 78%1280215	Cytokine Signaling in Immune system	5.344946634601785e-12	5.344946634601785e-12	+1	
METABOLISM OF PROTEINS%REACTOME DATABASE ID RELEASE 78%392499	Metabolism of proteins	5.408777944510517e-12	5.408777944510517e-12	+1	
REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0050790	regulation of catalytic activity	6.261217459700773e-12	6.261217459700773e-12	+1	
ESTABLISHMENT OF LOCALIZATION%GOBP%GO:0051234	establishment of localization	6.404215459759388e-12	6.404215459759388e-12	+1	
RHO GTPASE CYCLE%REACTOME DATABASE ID RELEASE 78%9012999	RHO GTPase cycle	6.539243386910688e-12	6.539243386910688e-12	+1	
PROTEIN LOCALIZATION TO ORGANELLE%GOBP%GO:0033365	protein localization to organelle	6.828966960846506e-12	6.828966960846506e-12	+1	
METABOLIC PROCESS%GOMF%GO:0008152	metabolic process	7.025281302095948e-12	7.025281302095948e-12	+1	
METABOLISM OF RNA%REACTOME DATABASE ID RELEASE 78%8953854	Metabolism of RNA	7.139422938604205e-12	7.139422938604205e-12	+1	
REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0042981	regulation of apoptotic process	7.656487871937382e-12	7.656487871937382e-12	+1	
POSITIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0045944	positive regulation of transcription by RNA polymerase II	8.379399325114275e-12	8.379399325114275e-12	+1	
POSITIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009967	positive regulation of signal transduction	9.501776131181244e-12	9.501776131181244e-12	+1	
REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031399	regulation of protein modification process	9.53537271695552e-12	9.53537271695552e-12	+1	
DNA REPLICATION%GOBP%GO:0006260	DNA replication	9.539079437449596e-12	9.539079437449596e-12	+1	
REGULATION OF CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044087	regulation of cellular component biogenesis	1.294507235811561e-11	1.294507235811561e-11	+1	
CYTOSKELETON%GOCC%GO:0005856	cytoskeleton	1.3792808905767466e-11	1.3792808905767466e-11	+1	
ENZYME REGULATOR ACTIVITY%GOMF%GO:0030234	enzyme regulator activity	2.0980157881681464e-11	2.0980157881681464e-11	+1	
ORGANOPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0090407	organophosphate biosynthetic process	2.4191778719152622e-11	2.4191778719152622e-11	+1	
DOUBLE-STRAND BREAK REPAIR%GOBP%GO:0006302	double-strand break repair	2.623646995954331e-11	2.623646995954331e-11	+1	
POSITIVE REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0044093	positive regulation of molecular function	2.886461081182774e-11	2.886461081182774e-11	+1	
PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOMF%GO:0004674	protein serine/threonine kinase activity	5.0451461097581406e-11	5.0451461097581406e-11	+1	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	5.926686739808691e-11	5.926686739808691e-11	+1	
CELLULAR COMPONENT ASSEMBLY%GOBP%GO:0022607	cellular component assembly	6.188548510474753e-11	6.188548510474753e-11	+1	
MITOCHONDRIAL MATRIX%GOCC%GO:0005759	mitochondrial matrix	6.681848749095517e-11	6.681848749095517e-11	+1	
