GO.ID	Description	p.Val	FDR	Phenotype	Genes
MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0043170	macromolecule metabolic process	3.16337592817115e-71	3.16337592817115e-71	+1	2665
NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0006139	nucleobase-containing compound metabolic process	2.6028203948978e-64	2.6028203948978e-64	+1	1438
REGULATION OF METABOLIC PROCESS%GOBP%GO:0019222	regulation of metabolic process	4.34657173151134e-61	4.34657173151134e-61	+1	3283
REGULATION OF PRIMARY METABOLIC PROCESS%GOBP%GO:0080090	regulation of primary metabolic process	4.99305286172205e-58	4.99305286172205e-58	+1	2804
REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0060255	regulation of macromolecule metabolic process	1.49302595634585e-55	1.49302595634585e-55	+1	3014
CELLULAR RESPONSE TO STRESS%GOBP%GO:0033554	cellular response to stress	9.57790112640501e-55	9.57790112640501e-55	+1	898
CELLULAR PROCESS%GOBP%GO:0009987	cellular process	3.89211616579946e-54	3.89211616579946e-54	+1	6581
BIOLOGICAL_PROCESS%GOBP%GO:0008150	biological_process	1.57477800401154e-53	1.57477800401154e-53	+1	8199
REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031323	regulation of cellular metabolic process	2.03063790389051e-53	2.03063790389051e-53	+1	2931
NUCLEIC ACID METABOLIC PROCESS%GOBP%GO:0090304	nucleic acid metabolic process	1.59116639262449e-52	1.59116639262449e-52	+1	1138
CELLULAR METABOLIC PROCESS%GOBP%GO:0044237	cellular metabolic process	3.92720130317796e-49	3.92720130317796e-49	+1	2637
INTRACELLULAR NON-MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043232	intracellular non-membrane-bounded organelle	2.0680382955201e-46	2.0680382955201e-46	+1	2627
NON-MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043228	non-membrane-bounded organelle	2.69987776880402e-46	2.69987776880402e-46	+1	2627
PROTEIN-CONTAINING COMPLEX%GOCC%GO:0032991	protein-containing complex	1.5347674223111e-45	1.5347674223111e-45	+1	2903
POSITIVE REGULATION OF METABOLIC PROCESS%GOBP%GO:0009893	positive regulation of metabolic process	4.0140727689802e-45	4.0140727689802e-45	+1	1836
BIOSYNTHETIC PROCESS%GOBP%GO:0009058	biosynthetic process	4.92768618230884e-45	4.92768618230884e-45	+1	1876
CELLULAR_COMPONENT%GOCC%GO:0005575	cellular_component	5.5497302894625e-45	5.5497302894625e-45	+1	8573
REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031326	regulation of cellular biosynthetic process	2.00699695676582e-44	2.00699695676582e-44	+1	2583
POSITIVE REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0048518	positive regulation of biological process	2.74192845612305e-44	2.74192845612305e-44	+1	2976
POSITIVE REGULATION OF CELLULAR PROCESS%GOBP%GO:0048522	positive regulation of cellular process	6.46053388939577e-44	6.46053388939577e-44	+1	2702
REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010556	regulation of macromolecule biosynthetic process	9.13063767408858e-44	9.13063767408858e-44	+1	2545
REGULATION OF CELLULAR PROCESS%GOBP%GO:0050794	regulation of cellular process	1.2951421627003e-43	1.2951421627003e-43	+1	5152
NEGATIVE REGULATION OF CELLULAR PROCESS%GOBP%GO:0048523	negative regulation of cellular process	1.71273019224849e-43	1.71273019224849e-43	+1	2293
POSITIVE REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0010604	positive regulation of macromolecule metabolic process	2.02377355123111e-43	2.02377355123111e-43	+1	1676
CELLULAR ANATOMICAL ENTITY%GOCC%GO:0110165	cellular anatomical entity	2.8551112896155e-43	2.8551112896155e-43	+1	8544
REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009889	regulation of biosynthetic process	1.01157796043375e-42	1.01157796043375e-42	+1	2609
CATALYTIC ACTIVITY%GOMF%GO:0003824	catalytic activity	2.35777379595596e-42	2.35777379595596e-42	+1	2820
NEGATIVE REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0048519	negative regulation of biological process	4.96015541649302e-42	4.96015541649302e-42	+1	2479
REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0019219	regulation of nucleobase-containing compound metabolic process	1.98621271885891e-41	1.98621271885891e-41	+1	2090
REGULATION OF GENE EXPRESSION%GOBP%GO:0010468	regulation of gene expression	3.02719437962581e-41	3.02719437962581e-41	+1	2479
REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0050789	regulation of biological process	3.50225959332996e-40	3.50225959332996e-40	+1	5420
ORGANELLE ORGANIZATION%GOBP%GO:0006996	organelle organization	3.81387977587979e-40	3.81387977587979e-40	+1	1653
BIOLOGICAL REGULATION%GOBP%GO:0065007	biological regulation	4.51520733918276e-40	4.51520733918276e-40	+1	5599
CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0044249	cellular biosynthetic process	1.13271121550726e-39	1.13271121550726e-39	+1	1663
DNA DAMAGE RESPONSE%GOBP%GO:0006974	DNA damage response	2.2963589291129e-39	2.2963589291129e-39	+1	483
CELLULAR COMPONENT ORGANIZATION OR BIOGENESIS%GOBP%GO:0071840	cellular component organization or biogenesis	2.40977646962584e-39	2.40977646962584e-39	+1	2785
NUCLEAR PROTEIN-CONTAINING COMPLEX%GOCC%GO:0140513	nuclear protein-containing complex	5.16992959821012e-38	5.16992959821012e-38	+1	812
MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0009059	macromolecule biosynthetic process	1.15763253498987e-35	1.15763253498987e-35	+1	1357
ORGANIC CYCLIC COMPOUND BINDING%GOMF%GO:0097159	organic cyclic compound binding	1.21154639412409e-34	1.21154639412409e-34	+1	2387
NUCLEOBASE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0034654	nucleobase-containing compound biosynthetic process	1.50405374086019e-34	1.50405374086019e-34	+1	882
CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0016043	cellular component organization	3.55723418257206e-34	3.55723418257206e-34	+1	2667
GENE EXPRESSION%GOBP%GO:0010467	gene expression	2.51855643480317e-33	2.51855643480317e-33	+1	1159
POSITIVE REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031325	positive regulation of cellular metabolic process	4.1550660258835e-33	4.1550660258835e-33	+1	1510
NUCLEIC ACID BINDING%GOMF%GO:0003676	nucleic acid binding	1.79906819317328e-32	1.79906819317328e-32	+1	1962
REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051252	regulation of RNA metabolic process	2.26138367701934e-32	2.26138367701934e-32	+1	1904
NEGATIVE REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0010605	negative regulation of macromolecule metabolic process	4.17431404764295e-32	4.17431404764295e-32	+1	1311
NEGATIVE REGULATION OF METABOLIC PROCESS%GOBP%GO:0009892	negative regulation of metabolic process	1.087472509133e-31	1.087472509133e-31	+1	1401
CATALYTIC COMPLEX%GOCC%GO:1902494	catalytic complex	7.89580560505393e-30	7.89580560505393e-30	+1	1043
POSITIVE REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0045935	positive regulation of nucleobase-containing compound metabolic process	1.13354132548558e-29	1.13354132548558e-29	+1	1012
DNA METABOLIC PROCESS%GOBP%GO:0006259	DNA metabolic process	3.2012913462921e-29	3.2012913462921e-29	+1	421
INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:0035556	intracellular signal transduction	1.18394073553987e-28	1.18394073553987e-28	+1	822
RNA METABOLIC PROCESS%GOBP%GO:0016070	RNA metabolic process	1.83678807556914e-28	1.83678807556914e-28	+1	783
POSITIVE REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031328	positive regulation of cellular biosynthetic process	1.5109743157251e-27	1.5109743157251e-27	+1	1269
POSITIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010557	positive regulation of macromolecule biosynthetic process	2.87895856285349e-27	2.87895856285349e-27	+1	1244
NEGATIVE REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031324	negative regulation of cellular metabolic process	4.96936093815174e-27	4.96936093815174e-27	+1	1198
RNA BINDING%GOMF%GO:0003723	RNA binding	6.72830034667282e-27	6.72830034667282e-27	+1	936
REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:2001141	regulation of RNA biosynthetic process	8.68332058352693e-27	8.68332058352693e-27	+1	1748
ENZYME BINDING%GOMF%GO:0019899	enzyme binding	1.23336495288577e-26	1.23336495288577e-26	+1	1100
REGULATION OF DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0006355	regulation of DNA-templated transcription	1.35939255357979e-26	1.35939255357979e-26	+1	1737
TRANSFERASE ACTIVITY%GOMF%GO:0016740	transferase activity	2.17947678509921e-26	2.17947678509921e-26	+1	1250
POSITIVE REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009891	positive regulation of biosynthetic process	2.79855980380564e-26	2.79855980380564e-26	+1	1283
CELLULAR LOCALIZATION%GOBP%GO:0051641	cellular localization	3.5489433372336e-26	3.5489433372336e-26	+1	1275
REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009966	regulation of signal transduction	1.06284203638055e-25	1.06284203638055e-25	+1	1492
REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048583	regulation of response to stimulus	1.24964537344151e-25	1.24964537344151e-25	+1	1941
CELL CYCLE PROCESS%GOBP%GO:0022402	cell cycle process	2.18371849724269e-25	2.18371849724269e-25	+1	519
NEGATIVE REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031327	negative regulation of cellular biosynthetic process	2.73945797098603e-25	2.73945797098603e-25	+1	1064
NUCLEIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0141187	nucleic acid biosynthetic process	3.25649153723641e-25	3.25649153723641e-25	+1	712
REGULATION OF CELL CYCLE%GOBP%GO:0051726	regulation of cell cycle	3.71948475208618e-25	3.71948475208618e-25	+1	611
NEGATIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010558	negative regulation of macromolecule biosynthetic process	4.77005490492303e-25	4.77005490492303e-25	+1	1045
MOLECULAR ADAPTOR ACTIVITY%GOMF%GO:0060090	molecular adaptor activity	8.6913706629489e-25	8.6913706629489e-25	+1	701
NEGATIVE REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009890	negative regulation of biosynthetic process	9.91813430656403e-25	9.91813430656403e-25	+1	1071
RESPONSE TO STRESS%GOBP%GO:0006950	response to stress	1.01556649158047e-24	1.01556649158047e-24	+1	1474
DNA REPAIR%GOBP%GO:0006281	DNA repair	1.76336048363663e-24	1.76336048363663e-24	+1	296
MITOCHONDRION%GOCC%GO:0005739	mitochondrion	2.07617975850065e-24	2.07617975850065e-24	+1	991
PROTEIN METABOLIC PROCESS%GOBP%GO:0019538	protein metabolic process	2.33652524410609e-24	2.33652524410609e-24	+1	1646
MACROMOLECULE MODIFICATION%GOBP%GO:0043412	macromolecule modification	1.07785967784948e-23	1.07785967784948e-23	+1	1058
CELL CYCLE%GOBP%GO:0007049	cell cycle	1.53883334471533e-23	1.53883334471533e-23	+1	551
MITOTIC CELL CYCLE PROCESS%GOBP%GO:1903047	mitotic cell cycle process	2.06033735868564e-23	2.06033735868564e-23	+1	331
MITOTIC CELL CYCLE%GOBP%GO:0000278	mitotic cell cycle	2.90942535175254e-23	2.90942535175254e-23	+1	375
POSITIVE REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051254	positive regulation of RNA metabolic process	7.02584633722389e-23	7.02584633722389e-23	+1	885
GENE EXPRESSION (TRANSCRIPTION)%REACTOME%R-HSA-74160.9	Gene expression (Transcription)	8.59426948265476e-23	8.59426948265476e-23	+1	944
REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051246	regulation of protein metabolic process	1.7812820514398e-22	1.7812820514398e-22	+1	981
PROTEIN-MACROMOLECULE ADAPTOR ACTIVITY%GOMF%GO:0030674	protein-macromolecule adaptor activity	3.37939130511498e-22	3.37939130511498e-22	+1	615
TRANSFERASE ACTIVITY, TRANSFERRING PHOSPHORUS-CONTAINING GROUPS%GOMF%GO:0016772	transferase activity, transferring phosphorus-containing groups	3.7046633041372e-22	3.7046633041372e-22	+1	536
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	5.13343632019686e-22	5.13343632019686e-22	+1	116
REGULATION OF RESPONSE TO STRESS%GOBP%GO:0080134	regulation of response to stress	5.96728210950594e-22	5.96728210950594e-22	+1	748
REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051128	regulation of cellular component organization	6.83954678332646e-22	6.83954678332646e-22	+1	1174
REGULATION OF SIGNALING%GOBP%GO:0023051	regulation of signaling	9.28822192698082e-22	9.28822192698082e-22	+1	1615
REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902531	regulation of intracellular signal transduction	1.82264269502627e-21	1.82264269502627e-21	+1	1004
REGULATION OF CELL COMMUNICATION%GOBP%GO:0010646	regulation of cell communication	1.90585793755192e-21	1.90585793755192e-21	+1	1617
RNA BIOSYNTHETIC PROCESS%GOBP%GO:0032774	RNA biosynthetic process	9.686997796437e-21	9.686997796437e-21	+1	666
TRANSFERASE COMPLEX%GOCC%GO:1990234	transferase complex	1.21277567570121e-20	1.21277567570121e-20	+1	560
REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051052	regulation of DNA metabolic process	8.30007921397268e-20	8.30007921397268e-20	+1	317
PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0006793	phosphorus metabolic process	8.48931409602097e-20	8.48931409602097e-20	+1	792
PHOSPHATE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0006796	phosphate-containing compound metabolic process	8.48931409602097e-20	8.48931409602097e-20	+1	792
NUCLEAR BODY%GOCC%GO:0016604	nuclear body	8.91874388346013e-20	8.91874388346013e-20	+1	480
PROTEIN MODIFICATION PROCESS%GOBP%GO:0036211	protein modification process	1.19229233391363e-19	1.19229233391363e-19	+1	950
CELL CYCLE%REACTOME%R-HSA-1640170.5	Cell Cycle	1.79382412902421e-19	1.79382412902421e-19	+1	445
NUCLEOLUS%GOCC%GO:0005730	nucleolus	1.91402593598452e-19	1.91402593598452e-19	+1	559
REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0033043	regulation of organelle organization	1.96825224484334e-19	1.96825224484334e-19	+1	639
ENDOMEMBRANE SYSTEM%GOCC%GO:0012505	endomembrane system	4.76085733277372e-19	4.76085733277372e-19	+1	2258
CENTROSOME%GOCC%GO:0005813	centrosome	6.96941559087516e-19	6.96941559087516e-19	+1	423
MICROTUBULE CYTOSKELETON%GOCC%GO:0015630	microtubule cytoskeleton	8.15815801201438e-19	8.15815801201438e-19	+1	749
REGULATION OF CELLULAR RESPONSE TO STRESS%GOBP%GO:0080135	regulation of cellular response to stress	1.34713521324524e-18	1.34713521324524e-18	+1	316
CATABOLIC PROCESS%GOBP%GO:0009056	catabolic process	1.73827074375359e-18	1.73827074375359e-18	+1	953
POSITIVE REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:1902680	positive regulation of RNA biosynthetic process	1.98166969441775e-18	1.98166969441775e-18	+1	803
POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0045893	positive regulation of DNA-templated transcription	3.11632517361568e-18	3.11632517361568e-18	+1	800
REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0010564	regulation of cell cycle process	3.26601192273044e-18	3.26601192273044e-18	+1	424
CATALYTIC ACTIVITY, ACTING ON A NUCLEIC ACID%GOMF%GO:0140640	catalytic activity, acting on a nucleic acid	7.37044931036464e-18	7.37044931036464e-18	+1	367
ESTABLISHMENT OF LOCALIZATION IN CELL%GOBP%GO:0051649	establishment of localization in cell	8.62582198290036e-18	8.62582198290036e-18	+1	802
RNA POLYMERASE II TRANSCRIPTION%REACTOME%R-HSA-73857.7	RNA Polymerase II Transcription	1.072585734121e-17	1.072585734121e-17	+1	818
MICROTUBULE ORGANIZING CENTER%GOCC%GO:0005815	microtubule organizing center	3.23261556871411e-17	3.23261556871411e-17	+1	491
REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0007346	regulation of mitotic cell cycle	3.61842470661023e-17	3.61842470661023e-17	+1	303
LOCALIZATION%GOBP%GO:0051179	localization	4.83094549083821e-17	4.83094549083821e-17	+1	2002
CHROMOSOME%GOCC%GO:0005694	chromosome	5.03851409875185e-17	5.03851409875185e-17	+1	1042
NEGATIVE REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0045934	negative regulation of nucleobase-containing compound metabolic process	5.84050766442903e-17	5.84050766442903e-17	+1	752
NEGATIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902532	negative regulation of intracellular signal transduction	5.93565865287833e-17	5.93565865287833e-17	+1	378
ORGANELLE MEMBRANE%GOCC%GO:0031090	organelle membrane	1.10082834182096e-16	1.10082834182096e-16	+1	1683
MACROMOLECULE LOCALIZATION%GOBP%GO:0033036	macromolecule localization	2.6847528963243e-16	2.6847528963243e-16	+1	1017
KINASE ACTIVITY%GOMF%GO:0016301	kinase activity	2.71758857840183e-16	2.71758857840183e-16	+1	439
INTRACELLULAR PROTEIN-CONTAINING COMPLEX%GOCC%GO:0140535	intracellular protein-containing complex	3.40675911827523e-16	3.40675911827523e-16	+1	553
MACROMOLECULE CATABOLIC PROCESS%GOBP%GO:0009057	macromolecule catabolic process	3.93854995446767e-16	3.93854995446767e-16	+1	541
CELLULAR MACROMOLECULE LOCALIZATION%GOBP%GO:0070727	cellular macromolecule localization	6.35620136336372e-16	6.35620136336372e-16	+1	838
CELL CYCLE, MITOTIC%REACTOME%R-HSA-69278.6	Cell Cycle, Mitotic	7.62333533167479e-16	7.62333533167479e-16	+1	358
REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901987	regulation of cell cycle phase transition	7.91651451129991e-16	7.91651451129991e-16	+1	268
CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044085	cellular component biogenesis	8.4731312640573e-16	8.4731312640573e-16	+1	1310
NEGATIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048585	negative regulation of response to stimulus	1.03917131690748e-15	1.03917131690748e-15	+1	811
PROTEIN LOCALIZATION%GOBP%GO:0008104	protein localization	1.60994650086969e-15	1.60994650086969e-15	+1	834
SIGNALING BY RHO GTPASES%REACTOME DATABASE ID RELEASE 78%194315	Signaling by Rho GTPases	3.0034648965118e-15	3.0034648965118e-15	+1	430
INTRACELLULAR TRANSPORT%GOBP%GO:0046907	intracellular transport	3.03917023911152e-15	3.03917023911152e-15	+1	640
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009968	negative regulation of signal transduction	3.09984303831467e-15	3.09984303831467e-15	+1	662
SIGNALING BY RHO GTPASES, MIRO GTPASES AND RHOBTB3%REACTOME DATABASE ID RELEASE 78%9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	3.27283318952855e-15	3.27283318952855e-15	+1	439
REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901990	regulation of mitotic cell cycle phase transition	6.48925188030049e-15	6.48925188030049e-15	+1	213
PHOSPHOTRANSFERASE ACTIVITY, ALCOHOL GROUP AS ACCEPTOR%GOMF%GO:0016773	phosphotransferase activity, alcohol group as acceptor	6.92212283581551e-15	6.92212283581551e-15	+1	410
POSITIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048584	positive regulation of response to stimulus	7.19271282244242e-15	7.19271282244242e-15	+1	1104
CHROMOSOME ORGANIZATION%GOBP%GO:0051276	chromosome organization	9.63882396742458e-15	9.63882396742458e-15	+1	272
POSITIVE REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051247	positive regulation of protein metabolic process	9.88653104555312e-15	9.88653104555312e-15	+1	591
CATALYTIC ACTIVITY, ACTING ON A PROTEIN%GOMF%GO:0140096	catalytic activity, acting on a protein	9.93194670281335e-15	9.93194670281335e-15	+1	1189
NEGATIVE REGULATION OF SIGNALING%GOBP%GO:0023057	negative regulation of signaling	1.02580853665887e-14	1.02580853665887e-14	+1	684
REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0006357	regulation of transcription by RNA polymerase II	1.02631485695808e-14	1.02631485695808e-14	+1	1309
NEGATIVE REGULATION OF CELL COMMUNICATION%GOBP%GO:0010648	negative regulation of cell communication	1.18320628067079e-14	1.18320628067079e-14	+1	681
POSITIVE REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051054	positive regulation of DNA metabolic process	2.15370220108903e-14	2.15370220108903e-14	+1	189
GENERIC TRANSCRIPTION PATHWAY%REACTOME%R-HSA-212436.13	Generic Transcription Pathway	2.38279464097196e-14	2.38279464097196e-14	+1	737
CHROMOSOMAL REGION%GOCC%GO:0098687	chromosomal region	4.25821372467256e-14	4.25821372467256e-14	+1	232
CELLULAR RESPONSES TO STRESS%REACTOME DATABASE ID RELEASE 78%2262752	Cellular responses to stress	5.3294246549037e-14	5.3294246549037e-14	+1	479
REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0065009	regulation of molecular function	5.69984287120302e-14	5.69984287120302e-14	+1	887
REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009894	regulation of catabolic process	6.16894502061622e-14	6.16894502061622e-14	+1	548
DISEASE%REACTOME%R-HSA-1643685.19	Disease	9.27437966896984e-14	9.27437966896984e-14	+1	1055
ORGANELLE ENVELOPE%GOCC%GO:0031967	organelle envelope	1.32075395732258e-13	1.32075395732258e-13	+1	630
NEGATIVE REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051253	negative regulation of RNA metabolic process	1.72986974993775e-13	1.72986974993775e-13	+1	676
CATALYTIC ACTIVITY, ACTING ON DNA%GOMF%GO:0140097	catalytic activity, acting on DNA	2.07736784738372e-13	2.07736784738372e-13	+1	162
NEGATIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010629	negative regulation of gene expression	2.67389946074277e-13	2.67389946074277e-13	+1	515
VESICLE-MEDIATED TRANSPORT%GOBP%GO:0016192	vesicle-mediated transport	3.4839371692364e-13	3.4839371692364e-13	+1	643
REGULATION OF PROGRAMMED CELL DEATH%GOBP%GO:0043067	regulation of programmed cell death	8.72408426467844e-13	8.72408426467844e-13	+1	662
CELLULAR RESPONSES TO STIMULI%REACTOME%R-HSA-8953897.8	Cellular responses to stimuli	1.13369840475736e-12	1.13369840475736e-12	+1	482
REGULATION OF DNA REPAIR%GOBP%GO:0006282	regulation of DNA repair	1.82799654760887e-12	1.82799654760887e-12	+1	164
MODIFICATION-DEPENDENT PROTEIN BINDING%GOMF%GO:0140030	modification-dependent protein binding	1.86237375576274e-12	1.86237375576274e-12	+1	138
RNA PROCESSING%GOBP%GO:0006396	RNA processing	2.68254782102785e-12	2.68254782102785e-12	+1	437
NEGATIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0045892	negative regulation of DNA-templated transcription	2.70765741764305e-12	2.70765741764305e-12	+1	614
SIGNALING PATHWAYS%REACTOME%R-HSA-162582.13	Signaling Pathways	3.23921891240158e-12	3.23921891240158e-12	+1	1425
NEGATIVE REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:1902679	negative regulation of RNA biosynthetic process	3.80777920002746e-12	3.80777920002746e-12	+1	621
PRIMARY METABOLIC PROCESS%GOMF%GO:0044238	primary metabolic process	3.86551631740373e-12	3.86551631740373e-12	+1	347
POST-TRANSCRIPTIONAL REGULATION OF GENE EXPRESSION%GOBP%GO:0010608	post-transcriptional regulation of gene expression	4.64807831667531e-12	4.64807831667531e-12	+1	285
CYTOKINE SIGNALING IN IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 78%1280215	Cytokine Signaling in Immune system	5.34494663460179e-12	5.34494663460179e-12	+1	475
METABOLISM OF PROTEINS%REACTOME DATABASE ID RELEASE 78%392499	Metabolism of proteins	5.40877794451052e-12	5.40877794451052e-12	+1	1163
REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0050790	regulation of catalytic activity	6.26121745970077e-12	6.26121745970077e-12	+1	590
ESTABLISHMENT OF LOCALIZATION%GOBP%GO:0051234	establishment of localization	6.40421545975939e-12	6.40421545975939e-12	+1	1696
RHO GTPASE CYCLE%REACTOME DATABASE ID RELEASE 78%9012999	RHO GTPase cycle	6.53924338691069e-12	6.53924338691069e-12	+1	302
PROTEIN LOCALIZATION TO ORGANELLE%GOBP%GO:0033365	protein localization to organelle	6.82896696084651e-12	6.82896696084651e-12	+1	399
METABOLIC PROCESS%GOMF%GO:0008152	metabolic process	7.02528130209595e-12	7.02528130209595e-12	+1	361
METABOLISM OF RNA%REACTOME DATABASE ID RELEASE 78%8953854	Metabolism of RNA	7.1394229386042e-12	7.1394229386042e-12	+1	450
REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0042981	regulation of apoptotic process	7.65648787193738e-12	7.65648787193738e-12	+1	636
