GO.ID	Description	p.Val	FDR	Phenotype	Genes
REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0007346	regulation of mitotic cell cycle	1.9187543028165966e-16	1.9187543028165966e-16	+1	
ESTABLISHMENT OF LOCALIZATION IN CELL%GOBP%GO:0051649	establishment of localization in cell	2.0065814670068556e-16	2.0065814670068556e-16	+1	
RNA POLYMERASE II TRANSCRIPTION%REACTOME%R-HSA-73857.7	RNA Polymerase II Transcription	2.5737581289606494e-16	2.5737581289606494e-16	+1	
NEGATIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902532	negative regulation of intracellular signal transduction	4.0685764888250664e-16	4.0685764888250664e-16	+1	
NEGATIVE REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0045934	negative regulation of nucleobase-containing compound metabolic process	1.1367336442292164e-15	1.1367336442292164e-15	+1	
REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901987	regulation of cell cycle phase transition	3.494859480879212e-15	3.494859480879212e-15	+1	
MACROMOLECULE CATABOLIC PROCESS%GOBP%GO:0009057	macromolecule catabolic process	4.232461878127159e-15	4.232461878127159e-15	+1	
CELL CYCLE, MITOTIC%REACTOME%R-HSA-69278.6	Cell Cycle, Mitotic	4.6490923957085016e-15	4.6490923957085016e-15	+1	
MACROMOLECULE LOCALIZATION%GOBP%GO:0033036	macromolecule localization	8.931761040084685e-15	8.931761040084685e-15	+1	
LOCALIZATION%GOBP%GO:0051179	localization	1.0273183493191409e-14	1.0273183493191409e-14	+1	
CELLULAR MACROMOLECULE LOCALIZATION%GOBP%GO:0070727	cellular macromolecule localization	1.3973521861178398e-14	1.3973521861178398e-14	+1	
NEGATIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048585	negative regulation of response to stimulus	2.115116744088418e-14	2.115116744088418e-14	+1	
REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901990	regulation of mitotic cell cycle phase transition	2.2238088093649132e-14	2.2238088093649132e-14	+1	
SIGNALING BY RHO GTPASES%REACTOME DATABASE ID RELEASE 78%194315	Signaling by Rho GTPases	2.2344620042361626e-14	2.2344620042361626e-14	+1	
SIGNALING BY RHO GTPASES, MIRO GTPASES AND RHOBTB3%REACTOME DATABASE ID RELEASE 78%9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	2.4962670481143473e-14	2.4962670481143473e-14	+1	
PROTEIN LOCALIZATION%GOBP%GO:0008104	protein localization	3.39828671609081e-14	3.39828671609081e-14	+1	
INTRACELLULAR TRANSPORT%GOBP%GO:0046907	intracellular transport	3.9964955944509036e-14	3.9964955944509036e-14	+1	
CHROMOSOME ORGANIZATION%GOBP%GO:0051276	chromosome organization	4.146736563532982e-14	4.146736563532982e-14	+1	
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009968	negative regulation of signal transduction	4.30032077895048e-14	4.30032077895048e-14	+1	
CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044085	cellular component biogenesis	4.751983309853261e-14	4.751983309853261e-14	+1	
POSITIVE REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051054	positive regulation of DNA metabolic process	6.546922185572071e-14	6.546922185572071e-14	+1	
POSITIVE REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051247	positive regulation of protein metabolic process	1.1108989880535416e-13	1.1108989880535416e-13	+1	
NEGATIVE REGULATION OF SIGNALING%GOBP%GO:0023057	negative regulation of signaling	1.4460081504981612e-13	1.4460081504981612e-13	+1	
NEGATIVE REGULATION OF CELL COMMUNICATION%GOBP%GO:0010648	negative regulation of cell communication	1.6486491257606129e-13	1.6486491257606129e-13	+1	
POSITIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048584	positive regulation of response to stimulus	2.498116624572212e-13	2.498116624572212e-13	+1	
GENERIC TRANSCRIPTION PATHWAY%REACTOME%R-HSA-212436.13	Generic Transcription Pathway	3.694976287255692e-13	3.694976287255692e-13	+1	
CELLULAR RESPONSES TO STRESS%REACTOME DATABASE ID RELEASE 78%2262752	Cellular responses to stress	4.256061814479318e-13	4.256061814479318e-13	+1	
REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0006357	regulation of transcription by RNA polymerase II	5.130298140441189e-13	5.130298140441189e-13	+1	
REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009894	regulation of catabolic process	5.89485551005355e-13	5.89485551005355e-13	+1	
REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0065009	regulation of molecular function	1.1841742705040527e-12	1.1841742705040527e-12	+1	
NEGATIVE REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051253	negative regulation of RNA metabolic process	2.1855111617373188e-12	2.1855111617373188e-12	+1	
NEGATIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010629	negative regulation of gene expression	2.2513338805327216e-12	2.2513338805327216e-12	+1	
DISEASE%REACTOME%R-HSA-1643685.19	Disease	2.633716506470616e-12	2.633716506470616e-12	+1	
VESICLE-MEDIATED TRANSPORT%GOBP%GO:0016192	vesicle-mediated transport	3.985900643837064e-12	3.985900643837064e-12	+1	
REGULATION OF DNA REPAIR%GOBP%GO:0006282	regulation of DNA repair	4.695989190968966e-12	4.695989190968966e-12	+1	
CELLULAR RESPONSES TO STIMULI%REACTOME%R-HSA-8953897.8	Cellular responses to stimuli	8.41189695185981e-12	8.41189695185981e-12	+1	
REGULATION OF PROGRAMMED CELL DEATH%GOBP%GO:0043067	regulation of programmed cell death	1.0117069108626428e-11	1.0117069108626428e-11	+1	
RNA PROCESSING%GOBP%GO:0006396	RNA processing	1.72395260443165e-11	1.72395260443165e-11	+1	
POST-TRANSCRIPTIONAL REGULATION OF GENE EXPRESSION%GOBP%GO:0010608	post-transcriptional regulation of gene expression	1.8691772540761688e-11	1.8691772540761688e-11	+1	
DNA REPLICATION%GOBP%GO:0006260	DNA replication	1.9492276502595435e-11	1.9492276502595435e-11	+1	
NEGATIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0045892	negative regulation of DNA-templated transcription	2.7092775428041465e-11	2.7092775428041465e-11	+1	
RHO GTPASE CYCLE%REACTOME DATABASE ID RELEASE 78%9012999	RHO GTPase cycle	2.7614215373575766e-11	2.7614215373575766e-11	+1	
CYTOKINE SIGNALING IN IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 78%1280215	Cytokine Signaling in Immune system	3.7293424105345484e-11	3.7293424105345484e-11	+1	
NEGATIVE REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:1902679	negative regulation of RNA biosynthetic process	3.8288083868592766e-11	3.8288083868592766e-11	+1	
PROTEIN LOCALIZATION TO ORGANELLE%GOBP%GO:0033365	protein localization to organelle	3.856286272982292e-11	3.856286272982292e-11	+1	
METABOLISM OF RNA%REACTOME DATABASE ID RELEASE 78%8953854	Metabolism of RNA	4.62811732639625e-11	4.62811732639625e-11	+1	
REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0050790	regulation of catalytic activity	5.7656546502119726e-11	5.7656546502119726e-11	+1	
DOUBLE-STRAND BREAK REPAIR%GOBP%GO:0006302	double-strand break repair	6.201045111564445e-11	6.201045111564445e-11	+1	
REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031399	regulation of protein modification process	7.328778312621183e-11	7.328778312621183e-11	+1	
POSITIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0045944	positive regulation of transcription by RNA polymerase II	7.643402093893515e-11	7.643402093893515e-11	+1	
REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0042981	regulation of apoptotic process	7.780322022788594e-11	7.780322022788594e-11	+1	
REGULATION OF CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044087	regulation of cellular component biogenesis	9.476023552059163e-11	9.476023552059163e-11	+1	
ORGANOPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0090407	organophosphate biosynthetic process	1.0413336043165446e-10	1.0413336043165446e-10	+1	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	1.0883654812672317e-10	1.0883654812672317e-10	+1	
POSITIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009967	positive regulation of signal transduction	1.271141820196684e-10	1.271141820196684e-10	+1	
SIGNALING PATHWAYS%REACTOME%R-HSA-162582.13	Signaling Pathways	1.4783180522663115e-10	1.4783180522663115e-10	+1	
METABOLISM OF PROTEINS%REACTOME DATABASE ID RELEASE 78%392499	Metabolism of proteins	1.5531646385758683e-10	1.5531646385758683e-10	+1	
POSITIVE REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0044093	positive regulation of molecular function	2.3092577616430773e-10	2.3092577616430773e-10	+1	
DNA REPAIR%REACTOME DATABASE ID RELEASE 78%73894	DNA Repair	4.00570933951466e-10	4.00570933951466e-10	+1	
ESTABLISHMENT OF LOCALIZATION%GOBP%GO:0051234	establishment of localization	4.2851522437495737e-10	4.2851522437495737e-10	+1	
POSITIVE REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0010638	positive regulation of organelle organization	5.699212815138256e-10	5.699212815138256e-10	+1	
ORGANOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0019637	organophosphate metabolic process	6.221560666138661e-10	6.221560666138661e-10	+1	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	8.100075578393063e-10	8.100075578393063e-10	+1	
DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0006261	DNA-templated DNA replication	8.100075578393063e-10	8.100075578393063e-10	+1	
CELLULAR COMPONENT ASSEMBLY%GOBP%GO:0022607	cellular component assembly	1.621808255214756e-9	1.621808255214756e-9	+1	
VEGFA VEGFR2 SIGNALING%WIKIPATHWAYS_20240910%WP3888%HOMO SAPIENS	VEGFA VEGFR2 signaling	1.760151704288848e-9	1.760151704288848e-9	+1	
METABOLISM%REACTOME%R-HSA-1430728.14	Metabolism	2.0304559902699063e-9	2.0304559902699063e-9	+1	
REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:0033044	regulation of chromosome organization	2.463033922797926e-9	2.463033922797926e-9	+1	
NUCLEOBASE-CONTAINING SMALL MOLECULE METABOLIC PROCESS%GOBP%GO:0055086	nucleobase-containing small molecule metabolic process	2.534433817302421e-9	2.534433817302421e-9	+1	
POSITIVE REGULATION OF SIGNALING%GOBP%GO:0023056	positive regulation of signaling	3.9958617034735634e-9	3.9958617034735634e-9	+1	
POSITIVE REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051130	positive regulation of cellular component organization	4.5637003268983e-9	4.5637003268983e-9	+1	
PROTEIN-CONTAINING COMPLEX ORGANIZATION%GOBP%GO:0043933	protein-containing complex organization	4.66456944995208e-9	4.66456944995208e-9	+1	
CELL DEATH%GOBP%GO:0008219	cell death	5.533534443638236e-9	5.533534443638236e-9	+1	
REGULATION OF AUTOPHAGY%GOBP%GO:0010506	regulation of autophagy	6.215536567571906e-9	6.215536567571906e-9	+1	
POSITIVE REGULATION OF CELL COMMUNICATION%GOBP%GO:0010647	positive regulation of cell communication	6.9422984188440985e-9	6.9422984188440985e-9	+1	
POST-TRANSLATIONAL PROTEIN MODIFICATION%GOBP%GO:0043687	post-translational protein modification	7.077950971814946e-9	7.077950971814946e-9	+1	
PROGRAMMED CELL DEATH%GOBP%GO:0012501	programmed cell death	8.14477461542077e-9	8.14477461542077e-9	+1	
REGULATION OF CELLULAR CATABOLIC PROCESS%GOBP%GO:0031329	regulation of cellular catabolic process	1.1223181682224439e-8	1.1223181682224439e-8	+1	
REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0050793	regulation of developmental process	1.2899666998632767e-8	1.2899666998632767e-8	+1	
NEGATIVE REGULATION OF CELL CYCLE%GOBP%GO:0045786	negative regulation of cell cycle	1.409671012749609e-8	1.409671012749609e-8	+1	
APOPTOTIC PROCESS%GOBP%GO:0006915	apoptotic process	1.6144723303381626e-8	1.6144723303381626e-8	+1	
MRNA METABOLIC PROCESS%GOBP%GO:0016071	mRNA metabolic process	2.1598598024865242e-8	2.1598598024865242e-8	+1	
REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001233	regulation of apoptotic signaling pathway	2.258302030092645e-8	2.258302030092645e-8	+1	
PROTEIN CATABOLIC PROCESS%GOBP%GO:0030163	protein catabolic process	2.6932744264304258e-8	2.6932744264304258e-8	+1	
DISEASES OF SIGNAL TRANSDUCTION BY GROWTH FACTOR RECEPTORS AND SECOND MESSENGERS%REACTOME%R-HSA-5663202.13	Diseases of signal transduction by growth factor receptors and second messengers	3.774688729591719e-8	3.774688729591719e-8	+1	
NUCLEOBASE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0034655	nucleobase-containing compound catabolic process	4.164572705279948e-8	4.164572705279948e-8	+1	
CELLULAR RESPONSE TO STIMULUS%GOBP%GO:0051716	cellular response to stimulus	5.076418149433459e-8	5.076418149433459e-8	+1	
PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION%GOBP%GO:0032446	protein modification by small protein conjugation	6.151221514359535e-8	6.151221514359535e-8	+1	
MEMBRANE TRAFFICKING%REACTOME DATABASE ID RELEASE 78%199991	Membrane Trafficking	8.08925073369432e-8	8.08925073369432e-8	+1	
NEGATIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0000122	negative regulation of transcription by RNA polymerase II	8.742514074037192e-8	8.742514074037192e-8	+1	
PROTEOLYSIS INVOLVED IN PROTEIN CATABOLIC PROCESS%GOBP%GO:0051603	proteolysis involved in protein catabolic process	9.241239748523624e-8	9.241239748523624e-8	+1	
MITOTIC PROMETAPHASE%REACTOME%R-HSA-68877.8	Mitotic Prometaphase	9.608567887981474e-8	9.608567887981474e-8	+1	
CYTOSKELETON ORGANIZATION%GOBP%GO:0007010	cytoskeleton organization	9.842156800811308e-8	9.842156800811308e-8	+1	
DNA RECOMBINATION%GOBP%GO:0006310	DNA recombination	1.0219041279699574e-7	1.0219041279699574e-7	+1	
CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0000075	cell cycle checkpoint signaling	1.1791451422080584e-7	1.1791451422080584e-7	+1	
NEGATIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0010948	negative regulation of cell cycle process	1.2289377222580888e-7	1.2289377222580888e-7	+1	
NEGATIVE REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901988	negative regulation of cell cycle phase transition	1.277289437343466e-7	1.277289437343466e-7	+1	
PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL%GOBP%GO:0070647	protein modification by small protein conjugation or removal	1.4016271922096932e-7	1.4016271922096932e-7	+1	
RECOMBINATIONAL REPAIR%GOBP%GO:0000725	recombinational repair	1.4997017138070833e-7	1.4997017138070833e-7	+1	
NUCLEOSIDE PHOSPHATE METABOLIC PROCESS%GOBP%GO:0006753	nucleoside phosphate metabolic process	1.6290694319474928e-7	1.6290694319474928e-7	+1	
