GeneID	GSM6290462	GSM6290463	GSM6290464	GSM6290466	GSM6290467	GSM6290468
90529	453	327	375	254	277	319
57185	1406	1345	1336	279	365	370
100750325	16	6	10	2	6	1
11123	774	756	598	114	119	167
100506985	44	47	41	5	3	8
400746	0	0	0	1	1	0
10250	6781	6848	6646	9185	10665	9451
25932	11141	4840	8477	46373	55318	57994
105376876	0	0	0	4	0	1
864	2183	2046	1735	1492	1263	3202
102465437	1	0	1	1	0	2
107984932	7	4	3	17	10	29
105376878	154	117	76	41	44	124
100616365	1	0	0	0	0	0
105376879	3	4	1	4	0	9
25949	2343	1105	1377	1859	2773	2017
57035	6748	5124	4827	4532	4034	5258
105376882	3	0	1	0	0	1
6007	30	16	12	27	50	30
23585	2193	2110	2009	3407	4043	3704
6006	1150	1093	970	1816	2078	1926
55219	1445	996	1231	1116	1291	989
26119	1433	1281	1190	199	251	222
57134	533	536	438	36	33	49
57190	6867	6688	6069	3193	4248	3766
56181	1643	1796	1517	807	982	1126
646471	449	443	357	284	345	388
79000	582	527	504	219	240	278
164091	126	118	89	5	3	18
3925	20897	21189	21579	6449	6991	6055
100500808	711	727	934	252	319	231
105376885	0	0	0	0	0	0
5051	473	505	555	111	101	194
101928216	6	10	8	0	2	0
2134	4	7	2	1	2	0
7780	0	0	2	2	4	12
105376910	0	0	0	0	0	0
84676	8	11	13	1	2	0
149420	453	390	455	139	129	175
105376886	1	0	0	0	0	2
79927	1	1	0	1	0	1
110806296	0	0	0	0	0	0
51042	381	483	280	203	223	214
10256	46	65	36	49	54	59
378807	2	0	0	2	0	0
101928303	0	0	0	0	0	0
64793	3374	3391	3079	374	322	752
83442	9795	7397	6370	5840	5630	7768
91544	1441	972	975	588	658	653
1043	305	172	103	154	170	181
55057	2	5	1	0	0	2
257101	0	0	0	0	0	0
79727	2	3	1	0	1	0
79947	1224	1079	983	558	612	808
101928324	43	28	28	4	15	12
3151	24754	23533	25446	13556	15369	13106
6195	7420	7451	7166	5003	4386	6141
100302190	0	1	1	2	0	1
105376888	2	0	0	4	9	9
101928728	111	82	74	32	74	54
8289	9622	8270	8886	10882	12784	10222
55650	602	490	560	1323	1778	1773
84243	1223	1034	893	789	867	1076
2810	3	2	0	0	0	0
54707	1460	1424	1182	1235	1484	1641
63906	636	594	515	732	837	892
10726	4796	6119	4785	4580	6145	5408
8431	0	0	1	0	0	7
126695	0	2	0	2	0	0
388610	36	40	35	35	19	10
115572	38	22	33	2	6	2
101928391	0	0	0	0	0	2
6548	1462	1247	1277	2018	2346	2908
102723760	0	0	0	0	0	0
105376890	0	0	0	0	0	1
23038	4064	2846	3358	2767	3179	2313
84065	1878	1547	1231	1413	1578	1426
644961	242	171	151	129	205	176
84958	2246	538	794	122	163	149
9064	1903	1931	1772	156	146	295
8547	5	6	7	0	0	0
388611	1	0	3	0	0	0
2827	65	56	55	269	229	245
10163	10280	8536	9413	7903	9630	8996
105376892	13	3	9	0	0	2
27245	270	316	238	357	428	699
2268	1290	707	527	1176	984	2808
111216282	2	2	0	3	2	7
2537	2823	1738	969	4155	2401	4498
199870	270	257	193	81	61	129
23673	1526	1113	1160	2386	2428	3909
5511	2608	2447	2382	1764	2414	2274
677774	0	3	1	0	5	4
9473	1133	1023	699	668	648	2195
6118	1509	1717	1632	630	732	1042
27293	12	21	13	2	3	10
55113	410	401	329	94	87	160
2140	1472	1559	1190	3807	3875	5675
5724	50	50	60	493	340	992
22826	4782	4770	4627	5604	6095	5607
93974	2276	2185	2145	1025	1050	911
83667	2362	478	1435	1887	1697	1928
54797	850	699	709	278	308	436
65979	2375	1654	1832	1808	1694	3252
1104	5591	6054	5341	943	1390	1520
8420	1883	2189	1398	340	466	685
6080	37	109	46	18	21	26
26768	36	106	41	11	34	18
54952	808	643	588	227	343	398
85028	777	1041	599	1377	1538	1353
692212	15	35	24	20	17	17
677838	91	118	60	24	33	42
677825	43	44	23	20	24	26
692073	48	72	37	36	20	24
115273	8	4	5	0	0	2
6883	893	941	759	379	513	417
105378616	10	15	11	4	3	2
26824	3	1	2	2	3	0
10691	1416	1114	1245	1901	2541	2147
51441	4742	4147	4142	3871	4087	3997
4985	6	21	7	24	15	6
2035	1681	1808	1495	3073	3641	2319
399474	118	90	69	231	180	172
6429	4173	3977	3501	5202	5815	6245
51102	778	863	661	371	445	478
10076	206	225	144	77	74	93
101928460	0	0	0	0	0	0
107984933	0	0	0	0	0	0
107984934	0	0	0	0	0	0
101929406	0	0	0	0	0	0
105378617	0	0	0	0	0	0
105378618	0	0	0	0	0	0
4146	35	24	28	43	42	48
100129196	103	85	65	171	173	202
7805	22366	22486	20470	14924	16653	22574
100616164	3	1	0	1	6	8
105378620	7	9	13	48	42	52
105378621	0	0	0	0	0	0
105378622	2	0	1	1	1	1
400748	0	0	0	0	0	0
9672	2555	1490	1440	254	301	636
9698	4809	3910	4090	10963	12609	12745
692234	11	12	7	29	29	20
692235	12	15	7	33	41	25
692200	2	1	0	4	4	2
107984935	5	2	2	1	3	2
79570	77	62	49	15	17	15
9410	2813	3441	2852	1394	1495	1590
51538	1000	1056	927	386	440	569
2170	13	18	13	4	6	9
105378623	0	0	0	0	0	0
107985470	2	1	1	0	0	0
347735	943	1001	696	379	449	420
105378625	0	0	0	0	0	0
105379772	0	0	0	0	0	0
149086	0	1	1	0	0	0
284551	0	0	0	1	0	1
105378626	18	23	13	4	3	6
64129	1	3	3	0	0	0
3061	64	59	48	74	90	80
553115	1546	1421	1334	2087	2335	2213
107985471	34	20	25	54	58	54
105378628	4	3	5	2	2	8
1307	17	10	1	35	26	35
101929444	0	0	0	0	0	2
576	111	75	80	29	19	41
100423028	0	0	0	0	0	0
90853	8	2	10	3	5	25
8073	6148	5622	5050	3924	4520	6209
10657	10094	9038	9103	8952	10424	9884
55116	1211	1102	865	439	536	529
100847018	0	0	0	0	0	0
23633	3431	3482	3258	4022	4909	4790
200081	7165	6184	5771	2759	2598	4025
79140	213	226	174	84	108	113
56063	496	316	349	302	288	335
55721	437	372	318	77	84	146
149069	123	77	65	54	44	69
8668	6803	7235	6354	6869	7780	6953
339483	179	77	67	22	13	13
84734	15	6	4	0	3	1
3932	1	0	0	0	0	0
3065	8230	7984	8075	3954	4131	4584
65108	681	646	495	2398	2064	2966
105378629	7	7	2	3	7	3
81629	523	266	249	291	378	489
100128071	35	39	22	14	17	46
55108	2404	1697	1736	2909	3587	3500
728116	2	1	2	1	1	2
653121	190	137	159	65	54	85
102723870	10	7	8	3	4	2
339487	700	623	659	563	665	503
5928	8140	7653	8304	1886	2149	2658
81493	2106	1962	1924	419	442	597
57648	946	719	643	108	150	192
8565	15452	5999	11661	3157	3613	3181
64766	1841	1417	1391	311	389	508
252995	5	13	6	0	2	3
105378631	3	2	3	0	0	3
3208	25	24	12	3	7	17
113452	482	490	275	151	182	233
105378632	0	0	0	4	1	4
127544	696	382	475	4646	5207	7705
204	17761	20557	17875	5306	7031	5837
105378635	0	0	0	0	2	0
113451	29	37	19	9	18	26
112268224	1	2	6	0	0	0
55223	280	339	220	149	176	215
149076	1695	1207	1187	179	258	240
127550	0	0	0	0	2	0
1912	2022	1724	1552	1215	1403	1602
100500853	47	43	40	40	38	43
101929464	0	3	2	0	0	0
7579	747	631	680	395	503	505
114784	1	1	2	0	0	0
105378638	0	0	0	0	0	0
127540	0	0	0	0	0	0
402779	0	0	0	0	0	0
84970	0	0	0	0	0	0
105378639	0	0	0	0	0	0
105378640	0	0	0	0	0	0
105378641	0	0	0	0	0	0
693137	0	0	0	0	0	0
105378642	0	1	1	1	0	0
2709	7	1	0	0	0	0
127534	0	1	0	0	0	0
2707	8	1	3	0	0	0
2701	11	1	8	1	0	1
113444	1049	1176	960	710	1072	934
58512	4	4	2	96	48	43
653160	205	130	118	21	39	90
100506144	831	665	628	386	358	441
9204	1511	1293	1080	464	652	796
79830	1026	919	887	203	197	258
105378644	2	1	1	1	0	2
6421	25995	23026	21632	48320	52716	51105
9202	4296	4076	4090	4997	5563	5541
100861513	53	56	81	125	151	147
79932	3110	2667	2578	1489	2059	2623
23154	1085	1667	1281	442	532	733
339488	851	568	577	47	79	122
105378645	342	233	240	19	34	38
5690	4060	4631	4076	2970	3701	3630
105378646	0	0	0	0	0	0
127703	1129	1128	874	229	264	568
63967	2659	3151	3368	427	629	998
192670	4817	3021	3344	2160	3190	2386
26523	1548	1571	1516	543	662	796
192669	1217	1111	854	1699	1887	2156
105378647	3	1	0	2	0	0
27285	10	3	2	4	5	9
54936	1102	1208	912	703	632	1076
