GeneID	GSM6290462	GSM6290463	GSM6290464	GSM6290465	GSM6290466	GSM6290467	GSM6290468	GSM6290469	GSM6290470	GSM6290471	GSM6290472	GSM6290473	GSM6290474	GSM6290475	GSM6290476	GSM6290477
118424	1946	2346	1692	1162	1837	2329	2145	1782	1961	2332	2394	2683	2180	1368	1554	1176
101928895	105	122	98	177	39	59	44	56	34	49	54	38	31	46	33	25
6339	319	257	242	298	104	148	152	140	131	167	71	108	92	74	93	61
116983	2904	3719	2288	1629	857	1015	1421	1137	1045	1447	1913	2326	1903	962	1235	814
102465434	1	1	2	1	1	0	1	0	0	0	1	2	0	0	1	0
109623456	32	55	35	27	11	8	19	10	8	15	25	34	20	10	16	14
126789	764	874	664	394	167	175	185	236	217	289	667	640	519	266	262	151
54973	4922	4056	3666	3672	1509	1699	2048	1875	1801	2414	2951	3481	2783	1899	1968	1542
102465435	12	20	11	4	10	16	6	6	9	9	16	13	9	3	7	3
80772	568	665	519	378	111	132	158	73	98	132	272	431	264	118	121	111
83756	79	52	44	42	16	30	32	47	27	55	30	23	24	21	27	7
1855	1763	1669	1464	1296	559	712	760	808	681	840	1170	1431	1059	604	629	346
102466740	3	2	1	3	0	1	2	1	1	3	6	2	3	3	1	1
54587	966	636	542	899	164	187	293	444	275	291	391	367	382	523	249	189
54998	2814	3153	2476	1352	955	1121	1046	726	976	1000	1317	1579	1226	609	786	633
81669	10847	7204	6284	9906	7413	8421	8390	8606	8048	8861	7251	7573	7025	7534	5716	5452
148413	1220	1123	1133	824	567	485	619	567	620	784	780	959	707	641	623	622
55052	2678	3119	2331	1638	1795	2111	2073	1609	1853	2279	2204	2244	2109	1614	1671	1562
107984868	2	0	2	11	0	1	0	0	2	0	2	0	1	0	1	0
441869	1	2	0	2	4	0	3	0	0	4	0	0	0	0	1	0
105378585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
643965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724312	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	2
107985729	1	0	0	0	2	1	3	1	3	3	0	0	1	3	1	3
64856	24	13	5	56	13	14	16	14	13	25	3	6	7	9	7	4
219293	192	236	168	78	116	106	136	129	146	162	210	224	192	114	151	114
83858	2558	3220	2091	1297	1799	2229	2420	1948	2187	2800	2789	2772	2707	1796	2196	1544
55210	2313	3488	2499	1059	1215	1417	1411	1222	1401	1491	2317	2411	2209	1129	1367	913
339453	9	10	6	8	2	0	1	4	3	4	3	5	3	0	3	5
29101	2717	2903	2507	2117	1369	2115	2124	1446	1585	2093	1690	1922	1690	1161	1349	1361
643988	1247	1102	816	766	116	149	188	144	131	208	239	389	318	126	165	141
105378586	49	48	35	66	3	1	21	6	17	12	10	23	17	9	17	4
142678	2124	1880	1700	1274	1502	1745	2405	2371	1696	2339	1367	1565	1306	1020	1411	848
8510	146	130	118	71	94	119	145	131	101	134	107	82	93	90	89	59
984	3382	3225	2972	2504	3641	4168	4204	3222	3329	4172	3331	3371	3015	2541	2605	2347
728661	5867	4492	4682	5302	2357	2747	2950	2835	3033	3007	2896	2750	2592	2777	2194	2199
8511	38	23	27	27	30	37	46	51	32	37	36	18	21	32	28	11
728642	2864	2615	2295	2005	3395	4090	3909	2918	2944	3671	2507	2531	2248	2177	2278	1975
9906	3622	2507	2450	3132	1052	1322	1270	1271	1423	1385	1319	1215	1165	1317	940	974
112268218	312	318	230	183	99	156	138	227	128	167	306	263	266	230	120	118
65220	3483	3504	2771	2402	1348	1653	2087	2748	1372	2002	4092	3712	3535	2901	1518	1436
2782	17275	14214	14793	15753	21940	25535	23854	23743	22268	25513	19554	20371	18120	18892	15912	17273
105378949	18	18	11	7	3	4	5	6	7	10	2	4	2	1	9	3
163688	55	40	19	76	11	10	12	43	26	16	16	3	27	34	6	10
339456	13	27	16	7	2	4	1	0	2	2	2	0	0	1	2	0
85452	3	3	2	6	1	2	2	13	3	0	4	0	3	3	1	3
107984872	10	7	13	11	0	0	0	3	1	0	0	0	3	0	0	3
105378589	1	0	1	0	0	1	3	0	1	1	1	0	0	0	0	0
2563	43	25	22	24	8	5	15	4	2	4	7	4	3	10	8	6
105378590	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5590	467	487	332	366	88	115	148	147	104	178	134	157	174	103	140	117
100506504	84	62	54	83	6	30	24	13	12	10	24	25	27	17	14	9
199990	1054	928	742	751	203	366	404	388	351	376	489	536	462	289	260	207
112268219	323	297	224	315	58	76	113	134	98	114	174	210	193	124	90	76
105378593	31	21	17	36	4	4	8	13	13	14	2	4	2	7	2	5
6497	5239	4811	3716	4630	2887	4038	3743	2818	3145	3505	2786	2392	2094	1785	1895	1578
79906	323	319	244	203	149	199	223	197	216	266	170	185	172	162	162	179
100129534	191	141	139	148	158	266	192	216	265	246	115	123	117	197	173	167
11079	4314	4343	3601	3187	2303	2632	3126	2493	2873	3467	3432	4007	3372	2563	2506	2429
5192	610	644	507	433	173	219	278	280	230	321	338	395	352	219	273	205
9651	3	9	4	1	4	4	4	3	1	4	7	1	1	3	6	3
55229	1045	1232	1015	805	1191	1281	1352	1246	1225	1443	1264	1277	980	940	1151	918
388585	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
115110	189	141	109	246	57	49	81	131	95	114	123	103	59	161	91	72
8764	897	853	448	806	262	339	504	595	442	610	942	632	541	807	583	418
100996583	13	1	0	10	3	4	14	8	4	9	9	0	3	7	3	8
127281	283	406	218	250	80	87	102	80	95	124	97	91	90	79	86	75
79258	36	57	22	22	9	6	9	4	10	13	9	16	8	10	7	8
105378597	9	3	3	5	0	0	5	0	0	0	0	0	0	2	0	0
100287898	41	20	25	41	6	4	6	15	14	18	7	1	6	17	5	8
105378603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63976	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
100422968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984909	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
105378605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378604	0	0	0	0	0	0	2	2	0	0	1	0	0	0	1	0
27237	407	361	244	298	9	11	22	29	28	17	62	61	79	35	37	18
1953	1272	696	629	1236	359	530	525	476	473	474	181	206	204	288	274	213
105378608	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
693135	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
105378607	2	2	8	2	0	0	0	1	0	0	0	0	0	0	0	0
127262	1331	1178	1077	1081	444	619	532	262	375	456	784	842	697	369	407	338
49856	1736	1613	1508	1183	483	480	667	696	676	894	1019	1281	1034	765	709	647
7161	1147	827	984	658	237	177	340	398	252	391	888	623	718	473	442	328
105378610	10	26	20	9	0	3	2	0	2	0	0	2	1	3	3	0
105378609	1	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0
57212	683	591	531	576	186	258	290	183	251	348	227	285	277	265	257	247
148870	1431	746	791	786	324	259	344	543	318	435	839	583	733	694	416	369
388588	71	47	40	47	18	13	28	29	15	18	29	39	26	16	15	19
57470	2422	2402	2037	1499	858	941	1012	676	856	1060	1627	1810	1552	826	844	742
9731	854	841	818	955	291	419	504	355	531	516	485	621	577	408	359	377
1677	423	504	420	292	84	108	136	98	109	176	239	282	259	132	183	119
107984910	62	113	59	68	3	6	22	7	13	12	36	51	39	5	17	18
339448	1275	1383	1135	988	231	315	269	177	253	325	841	948	756	392	362	365
100133612	38	49	47	22	15	32	22	16	14	35	25	17	12	17	18	16
728716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376673	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376674	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55966	176	129	125	109	2	5	12	10	11	15	15	9	19	11	17	9
105376680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100616421	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
261734	1628	1601	1525	1163	568	620	920	700	839	1116	1119	1293	1018	776	950	796
8514	15898	17889	15978	12926	1682	2494	3860	3423	3463	4201	7714	8492	8101	4686	3161	3088
26038	236	53	41	351	25	32	35	111	39	44	58	44	24	127	27	26
105376687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6146	19412	14978	14269	21934	10032	12899	12117	11762	10554	12395	9525	8867	9686	11747	7305	8561
107985733	63	71	54	73	28	42	46	24	31	33	29	19	26	32	23	22
102724450	16	22	7	11	1	0	1	5	1	2	1	0	3	1	1	0
388591	556	401	247	446	43	69	54	81	54	63	26	26	46	53	38	27
23463	4765	5399	5270	3469	543	504	886	647	795	1080	4346	4006	3709	1435	1362	1245
148645	29	32	25	52	0	17	3	11	4	4	16	7	18	3	5	6
390992	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
387509	353	478	432	219	320	225	389	451	373	490	924	931	755	491	606	378
11332	1721	2017	1955	1159	613	736	565	358	487	489	702	673	628	286	355	304
54626	6	2	2	3	1	0	1	0	0	5	1	0	0	0	0	0
83715	469	531	358	274	179	242	163	113	168	140	89	84	97	68	85	71
100422975	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8718	197	178	112	165	74	121	93	133	89	101	90	89	86	112	54	43
57449	143	71	35	189	10	17	4	27	17	12	47	18	33	28	8	5
79707	1371	1540	1074	986	720	994	880	541	743	902	1147	1184	1075	620	707	596
80835	2	1	2	0	0	0	3	0	0	2	1	2	0	2	0	0
107984912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3104	2316	2266	1709	1563	1952	2127	2068	1885	2116	2335	1712	1899	1572	1555	1529	1328
9903	1153	1337	1113	790	439	352	466	458	470	444	906	859	825	396	294	269
107984913	13	10	6	10	11	8	19	15	3	20	14	10	4	7	5	2
148479	1275	952	935	1030	613	580	507	580	379	433	1073	1180	1006	676	348	355
90326	1231	1419	1141	715	925	1081	1038	925	971	1186	1165	1421	1007	673	851	716
55735	2327	3337	2580	1883	1891	2682	2890	1825	2610	3226	3024	3405	3015	1812	2305	2329
100505887	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0
110841581	19	5	4	8	3	6	4	2	2	5	1	4	1	3	5	2
23261	1083	1018	913	1005	1618	1939	1527	2072	1400	1637	1074	976	1002	1374	1106	1060
105376692	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928836	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
105376691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376689	442	223	206	564	380	379	457	601	403	484	196	202	186	484	272	309
9341	1776	1652	1451	1942	1043	1226	1799	1220	1386	1885	1912	1994	1869	1383	1386	1409
8863	515	341	300	667	67	100	118	159	123	132	145	155	188	144	77	83
10911	629	491	428	591	278	304	427	402	333	434	318	320	378	399	277	336
3604	11	10	10	7	7075	5045	8845	5586	8273	8137	2689	2709	2144	4282	5960	6452
11315	5326	5735	5176	3521	4221	4635	4026	3350	4473	4522	4335	4046	4069	3335	3350	3690
54206	124	90	109	218	209	287	372	232	324	368	244	204	156	179	165	186
107984915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50651	19	23	12	12	0	3	1	23	5	12	21	6	4	14	7	4
473	1764	1248	1370	1743	745	845	1136	1231	1075	1148	1349	992	979	1290	854	777
102724552	10	3	1	3	2	0	2	13	0	3	1	1	0	6	0	5
106632271	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
2023	51293	64562	53886	37194	29337	33491	36623	28845	33888	40420	56885	67365	61982	32587	30066	31607
102465436	0	2	2	2	10	8	2	1	5	2	9	4	6	1	1	0
100505975	4	4	4	3	4	8	5	3	2	3	6	13	7	5	3	3
112268261	2	2	1	6	1	1	0	2	2	2	2	2	0	1	2	2
765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155184	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
6518	9812	6084	6638	8113	1378	1727	1992	1298	1597	2133	4075	5226	4971	1666	1321	1807
80045	301	229	197	331	268	328	1650	1227	840	2030	3140	4661	2605	1135	1598	1599
106614088	53	30	24	18	26	13	57	41	51	72	100	80	78	45	46	38
407040	1	0	1	0	0	0	2	0	0	3	0	0	1	1	0	1
102724571	17	11	17	6	6	5	5	6	2	15	12	15	9	11	2	2
9563	5020	3375	2950	4943	867	1022	2044	1759	1768	2042	3279	3417	2885	2162	1719	1802
80176	279	144	169	289	548	538	646	650	505	718	1040	1085	786	446	436	513
100506022	84	71	90	83	3	3	12	3	22	13	20	31	28	15	23	16
84275	761	921	696	701	1161	1267	1289	938	1145	1519	870	1036	844	715	914	845
199953	1598	2063	1641	806	306	310	364	411	319	535	1400	1447	1215	544	556	324
107985734	35	64	36	27	5	9	18	18	15	10	37	29	32	19	20	4
105376712	3	0	0	6	1	0	0	3	0	0	1	0	1	0	3	2
5293	13695	11940	11412	9687	13857	14352	10807	15777	11695	12346	7417	8105	7821	14312	11314	9662
644997	283	226	325	139	306	366	391	522	500	482	270	217	243	529	439	479
101929074	4	1	0	1	7	15	5	11	17	11	1	2	5	4	2	3
22883	13942	10050	10954	11408	4318	5759	4675	4877	4629	4799	5616	5682	5165	4902	3630	3601
56998	1140	811	706	884	264	357	265	226	260	229	120	108	88	140	149	179
105376717	38	34	32	47	12	15	15	10	26	9	6	8	7	8	9	5
84328	1468	1538	1413	1413	1053	1155	1142	785	1278	1133	1123	1124	1203	952	873	936
64802	823	811	750	742	295	370	503	243	464	588	698	697	693	394	414	372
113391335	3	0	1	0	0	3	1	1	4	1	1	0	1	0	0	0
100847055	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
116362	7	5	4	9	7	1	6	1	5	7	4	6	1	3	0	3
10277	2547	2391	2551	2477	848	1396	1174	732	1132	1193	1490	1625	1563	830	957	864
23095	1201	901	1029	1581	3253	3184	4933	3388	3470	4867	1752	1574	1479	3208	3253	2792
105376725	10	10	1	2	0	3	10	2	0	6	6	6	6	11	4	2
5226	12707	11037	10582	9791	4856	5768	8610	11169	7205	10393	27153	27632	27866	21187	8190	9897
100526739	260	233	270	214	110	119	114	83	139	169	281	212	227	128	139	157
378708	314	289	330	244	120	141	133	105	155	183	333	252	284	145	170	176
1325	11	6	7	8	2	7	4	9	1	4	6	11	14	8	4	1
1676	1609	1919	1525	1581	561	793	775	544	666	772	1279	1418	1388	869	656	644
5195	1199	1019	897	975	453	658	691	811	658	731	760	779	666	698	551	520
54897	323	310	253	213	849	1032	890	1174	838	654	178	188	132	425	442	319
105376733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376735	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
148345	454	199	200	301	33	28	34	57	19	22	24	29	26	26	14	18
23435	10955	11024	10684	9298	9509	10514	9102	8475	8767	10448	10424	10026	10161	8738	7934	8030
10747	369	185	145	418	62	130	246	186	181	216	215	130	215	224	107	133
6723	3190	5062	3484	1726	1101	1466	1256	801	1272	1224	1594	2112	1579	857	1107	814
5394	5090	4509	4595	4585	2198	2607	2838	1984	2610	3209	4614	4574	4190	2651	2694	2783
105376736	134	120	182	170	67	90	87	79	94	116	156	168	152	98	101	105
2475	4008	4369	4068	3416	2816	3424	4407	2568	4125	4586	4313	4522	4069	3217	3750	3271
100873935	61	62	60	57	45	46	60	51	43	57	63	86	67	39	60	52
10218	3	1	1	0	2	0	2	2	0	4	0	3	3	0	1	1
29914	1151	1219	875	1043	407	508	650	435	593	662	823	1040	1010	525	560	534
105376737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376740	0	0	0	0	6	2	2	0	8	0	0	0	0	0	1	5
57540	3	2	2	6	26	42	41	11	42	20	2	1	2	2	8	7
112268221	0	0	0	1	1	1	4	1	3	4	0	0	0	1	1	0
101929181	0	0	0	1	11	12	2	0	0	1	0	1	0	0	0	0
26232	1	2	0	7	1	3	5	1	0	2	1	3	2	0	4	3
93611	987	776	502	854	164	243	269	360	206	299	333	471	355	317	266	218
26270	520	360	284	340	373	316	726	1265	510	887	1424	1070	972	1518	742	818
10459	2363	2013	2124	1456	1401	1329	1754	1770	1533	2297	2995	3296	2685	1899	2093	1699
374946	44	33	30	26	6	2	11	7	7	6	40	37	30	13	9	16
57085	1364	1669	1336	823	1148	1497	1341	1210	1250	1442	842	895	764	838	969	974
284498	527	349	346	582	135	220	259	264	238	253	290	321	300	262	179	159
102724659	2	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0
4524	2230	1421	1578	2608	767	1035	1215	1261	1144	1206	1315	1489	1389	1327	883	819
1185	1705	1019	1231	1957	1747	2440	2105	2536	1882	1840	977	1020	1029	1780	1244	1358
100379251	219	149	152	230	242	338	306	347	235	249	138	157	171	255	187	219
4878	14	11	8	20	35	31	32	32	25	27	10	19	24	16	11	23
4879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26829	1	0	0	2	22	26	22	13	25	19	2	1	2	6	10	13
90231	2978	3038	2386	1792	1066	1119	1186	955	1010	1252	1650	2091	1597	1074	990	789
5351	3202	3598	2818	2742	2418	3194	2765	1334	2243	2181	1387	1729	1763	876	1388	1097
9927	5609	6244	5184	4647	4019	4676	5259	3845	4793	5734	6720	7591	6445	4369	4576	4225
60672	1654	2212	1487	823	164	203	232	152	198	256	908	957	861	314	214	155
102466982	3	5	5	1	0	3	0	0	0	1	2	3	2	0	1	0
943	13	2	8	4	3	8	15	6	4	25	36	51	35	12	12	13
102465836	1	1	0	0	0	1	1	0	1	0	2	2	1	1	0	0
7133	3956	2767	2217	4638	2328	2081	8458	6391	5538	10555	26936	35269	26419	9247	10388	9328
100616438	0	0	0	0	0	0	0	6	0	0	3	2	0	1	0	1
107984917	5	4	4	4	4	3	3	8	3	11	20	25	19	11	6	7
55187	1657	1546	1469	1911	1032	1679	1915	1074	1488	1541	1444	1425	1303	1414	1255	1099
677885	1	3	1	4	2	8	3	1	5	1	2	1	1	1	1	2
105376744	178	91	91	198	6	3	14	38	13	11	30	13	19	70	12	15
9249	223	55	116	208	75	87	153	227	123	128	67	18	35	225	64	76
102466722	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
343066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126767	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1
93190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343069	72	57	79	103	263	353	266	272	245	266	125	103	100	206	164	162
65122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649330	2	0	1	0	1	2	1	1	0	1	0	1	1	0	0	0
441873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440563	58	49	68	85	223	306	233	222	206	237	101	86	85	172	142	132
645354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101060301	2	3	4	8	13	20	16	25	19	12	5	9	4	8	13	8
343070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126755	0	0	0	0	4	11	13	10	22	11	12	12	7	17	8	15
102724856	0	0	0	0	0	2	1	0	1	0	1	0	2	0	0	0
107984918	0	0	0	0	1	3	0	2	0	0	1	1	0	0	3	0
10630	366	90	120	1308	1078	1683	1640	1564	2009	2302	1160	725	987	1566	1222	1709
107984919	1	1	0	17	10	20	30	11	43	36	38	22	35	32	19	32
105378612	0	0	0	0	0	3	1	0	0	1	0	0	0	0	6	0
105376756	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7799	2146	1818	1852	2310	5295	6087	6818	4858	5924	7125	3133	3523	3063	3663	3974	4451
23254	270	407	227	252	23	39	85	92	55	79	163	163	123	122	75	59
107985467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985468	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
