Gene	Description	Ranks	GSM6290462	GSM6290463	GSM6290464	GSM6290466	GSM6290467	GSM6290468
ENSG00000142657	PGD	0.92	5.49	5.53	5.56	5.05	5.02	5.36
ENSG00000148057	IDNK	0.91	2.16	1.9	1.74	1.48	1.69	1.61
ENSG00000138029	HADHB	0.83	4.91	4.98	5.06	4.72	4.57	4.66
ENSG00000117448	AKR1A1	0.82	4.41	4.36	4.31	4.09	3.92	4.08
ENSG00000213965	NUDT19	0.81	3.14	3.13	2.88	2.68	2.73	2.83
ENSG00000060971	ACAA1	0.71	3.85	3.81	3.77	3.64	3.5	3.45
ENSG00000181092	ADIPOQ	0.67	0.71	0.76	0.46	0.56	0.44	0.46
ENSG00000116171	SCP2	0.67	4.76	4.84	4.91	4.58	4.64	4.49
ENSG00000240303	ACAD11	0.66	2.52	1.97	1.87	1.57	1.43	1.99
ENSG00000146416	AIG1	0.63	4.1	4.36	4.3	4.13	4.1	3.73
ENSG00000084754	HADHA	0.6	5.88	5.99	6.09	5.79	5.8	5.65
ENSG00000127884	ECHS1	0.56	4.04	4.44	4.29	4.1	4.11	3.93
ENSG00000093144	ECHDC1	0.5	4.34	4.51	4.47	4.26	4.31	4.16
ENSG00000140526	ABHD2	0.44	3.81	3.89	4	3.8	3.54	3.82
ENSG00000158201	ABHD3	0.37	3.82	3.74	3.73	3.66	3.7	3.49
ENSG00000072778	ACADVL	0.24	5.6	5.55	5.39	5.61	5.24	5.38
ENSG00000131373	HACL1	0.18	2.91	2.81	2.83	2.75	2.9	2.67
ENSG00000171503	ETFDH	-0.15	3.03	2.75	3.14	3.07	3.01	3.05
ENSG00000164751	PEX2	-0.21	3.38	3.44	3.59	3.64	3.51	3.52
ENSG00000119688	ABCD4	-0.29	3.83	3.73	3.9	4.08	4	3.68
ENSG00000172482	AGXT	-0.29	0.71	0.61	0.18	0.75	0.56	0.57
ENSG00000140374	ETFA	-0.36	4.59	4.73	4.73	4.89	4.94	4.63
ENSG00000101577	LPIN2	-0.44	3.7	3.52	3.64	3.73	3.83	3.82
ENSG00000107537	PHYH	-0.82	3.41	3.31	3.42	3.82	3.75	3.52
ENSG00000175198	PCCA	-1	2.72	2.93	2.88	3.16	3.17	3.35
ENSG00000134324	LPIN1	-1.12	3.48	3.33	3.19	3.89	3.83	3.6
ENSG00000112033	PPARD	-1.12	4.4	3.76	4.04	4.71	4.61	5.18
ENSG00000003137	CYP26B1	-1.16	0.99	0.28	0.81	1.29	1.23	1.22
ENSG00000104325	DECR1	-1.26	4.28	4.13	4.31	4.86	4.75	4.64
ENSG00000153093	ACOXL	-1.47	0.3	0.41	0.46	0.63	0.65	0.67
ENSG00000148090	AUH	-1.52	1.59	1.45	1.57	1.98	2.48	2.18
ENSG00000073067	CYP2W1	-2.32	0.11	0.17	0.05	0.4	0.35	0.48
ENSG00000111863	ADTRP	-2.36	0.23	0.02	0	1.97	1.55	2.26
ENSG00000161533	ACOX1	-2.96	3.31	3.43	3.64	4.82	4.59	4.98
ENSG00000162928	PEX13	-3.27	2.73	2.65	2.62	4.21	4.33	3.95
