Gene	GSM6290462	GSM6290463	GSM6290464	GSM6290466	GSM6290467	GSM6290468
GDE1	48.99323345	65.55812738	55.65475942	25.7093874	30.99129627	19.04278404
REX1BD	19.51127174	23.51665973	21.49858328	11.38278221	13.70230007	9.816927806
OSBPL7	31.76935529	31.71428796	30.36372942	5.495136238	5.996507597	14.90528306
TMEM98	0.566960802	0.96173292	0.265712827	0.588764597	1.625221685	0.9251555
YBX2	0.821115644	0.32057764	0.289868539	0	0.364273826	0.077096292
MAP3K14	7.194537075	6.159670368	5.386723676	44.71340022	38.02458322	64.40110231
TMEM132A	0.371457077	0.870139309	0.6280485	2.68214983	1.765327003	3.829115819
AP2B1	139.3746055	133.7953679	162.7370287	112.4867472	104.2663774	111.1471538
ZNF263	57.3412425	55.3454397	52.56282834	70.45549676	74.25581837	68.59000082
CX3CL1	0.606061547	0.618256877	0.77298277	0.654182885	0.812610843	0.745264153
SPATA20	70.94830175	51.13213358	53.86723676	23.77954789	24.91072548	27.754665
CACNA1G	0.449658567	0.068695209	0.120778558	1.177529194	1.064800414	2.081599875
TNFRSF12A	1.212123094	1.786075423	0.990384174	13.27991257	8.23819268	9.816927806
MAP3K9	1.388076447	1.625786603	1.618432674	2.191512666	1.653242749	1.336335722
RALA	26.11929764	26.79113134	25.26687428	54.13363377	63.88802487	61.72843086
BAIAP2L1	4.555236789	3.343166817	3.864913848	81.70744239	74.42394476	61.31725064
KDM7A	3.968725615	2.679113134	1.304408424	31.56432422	13.19792093	24.36242817
ETV1	1.094820859	1.992161048	2.463882578	0.261673154	0.308231699	0.513975278
AGK	16.71556848	16.028882	18.76898788	24.17205762	20.98777659	36.80062989
ALDH3B1	64.20342325	58.59701291	63.19134142	9.289396974	8.182150553	10.04821668
TTC22	0.332356332	0.526663266	0.362335673	0.556055453	0.672505525	0.642469097
PHTF2	16.26590991	19.87581368	19.05885641	16.32186299	13.84240539	10.71638454
FARP2	25.74784056	41.6750932	39.27718698	37.32113362	35.1944558	33.56258564
USH1C	4.613887907	4.030118903	3.454266752	1.406493204	0.980737224	0.513975278
GGCT	40.87982887	55.09355727	48.79453733	21.26094378	19.58672341	16.31871507
DBF4	24.28156263	30.72965663	31.1608679	31.89141567	36.45540366	26.21273917
TBXA2R	5.356802061	4.991851823	8.019696235	2.060676089	3.446590815	1.619022125
IFRD1	36.57874692	32.12645921	29.32503382	238.057152	182.1929551	174.2890167
COX10	6.84263037	10.12109406	10.38695597	14.09764118	16.86868025	14.90528306
GTF2IRD1	11.33921604	14.79236824	11.7155201	5.658681959	11.43259392	10.48509567
PAF1	44.35979517	48.15534121	59.66460753	63.6847039	58.4799596	48.67345881
VPS41	34.09584962	30.4548758	52.46620549	50.47020961	46.17871271	49.16173532
ARHGAP44	2.873904756	2.24404348	2.463882578	5.168044795	7.089329075	7.324147708
ELAC2	30.45948033	35.97339089	35.89538737	15.96206241	19.41859703	17.62935203
SCIN	9.032272089	7.006911274	8.72021187	2.943822985	3.390548688	2.852562792
ARSD	50.14670543	42.86581015	46.01663051	34.67169293	37.80041471	43.25101963
PNPLA4	5.180848709	5.839092728	6.0630836	4.252188755	6.33276036	5.525234236
ADIPOR2	93.39212937	77.99196013	90.84963115	118.8977394	133.4363046	115.9785214
CDKL3	3.167160343	2.839401954	1.932456924	3.892388168	2.830127417	4.343091097
MARK4	24.92672492	28.874886	28.31049394	73.62828376	85.96862293	65.6860405
CCDC124	19.86317845	32.057764	28.96269815	24.23747591	22.50091402	19.58245808
CEACAM21	6.001964353	2.88519876	3.11608679	1.831712079	1.933453384	1.182143139
PAFAH1B1	36.7351499	41.21712514	50.43712572	152.8825403	154.7042918	146.611448
DNAH9	0.527860057	0.183187223	0.072467135	0.130836577	0.308231699	0.539674042
KIAA0100	242.170464	280.505435	260.2536363	91.84727712	84.34340125	93.31221168
GAS7	51.33927815	29.24126045	39.61536695	73.56286547	71.3136067	158.689867
TRAPPC6A	24.06650853	18.13553506	19.83183918	12.69114798	17.51316471	15.62484844
MATK	8.191606072	9.869211631	5.386723676	2.518604109	2.465853591	2.981056611
CD79B	3.323563323	2.953893968	2.584661136	0.654182885	0.896674033	0.385481458
SCN4A	2.658850658	0.412171251	3.285176771	0.032709144	0.140105318	0.179891347
ST7L	20.48879037	22.09695876	24.78376005	41.9658321	38.58500449	43.04542951
TKTL1	83.48009052	57.63527999	63.23965284	82.03453384	77.89855663	58.5674829
RPUSD1	27.17501776	47.42259231	31.40242502	6.868920297	6.108591851	7.915219278
RHBDF1	11.3001153	11.95296629	6.860222081	66.39956287	62.01061361	45.10133063
LUC7L	27.46827334	35.17194679	27.87569113	50.69917362	37.5762462	45.3326195
CACNA2D2	0.273705215	0.068695209	0.169089981	0.785019463	0.47635808	1.002251792
BAIAP3	2.99120699	2.335637091	0.483114231	1.373784059	1.373032113	2.389985042
TSR3	17.51713375	21.59319389	19.08301213	7.88290377	7.733813536	5.679426819
PIGQ	46.99909546	49.41475336	48.5046688	26.8214983	28.52544268	26.03284782
CRAMP1	61.85737855	68.28303732	60.96901596	194.1287713	213.8567569	163.0586569
TEAD3	5.122197591	2.610417926	2.439726867	2.91111384	5.043791437	3.109550431
SELE	0	0	0	3.532587581	1.176884669	0.385481458
DNAJC11	53.58757099	89.18927912	75.2691972	74.31517579	93.22607839	93.13232033
MYLIP	15.01468607	18.93697916	19.75937205	16.22373556	17.62524897	17.26956933
PSMB1	164.4577334	193.3083169	186.2646918	155.6955267	170.4801506	151.0830329
SYN1	0.097751862	0.022898403	0.048311423	0.883146895	0.95271616	1.953106056
JARID2	45.3373138	40.25539222	46.37896618	19.33110427	20.45537638	22.82050233
CDKL5	4.496585672	3.892728485	3.647512444	6.410992278	8.210171617	6.912967486
CAMK1G	0	0	0	2.093385233	0.504379144	2.055901111
CDK11A	44.02743884	46.55245301	39.01147416	110.2298162	107.5728629	84.62602949
NADK	72.27772708	89.39536475	71.45259477	57.4045482	57.55526451	65.14636646
DLEC1	1.818184641	1.373904171	0.6280485	1.373784059	1.597200622	2.338587514
CYTH3	19.29621764	17.21959895	18.59989789	42.45646927	55.14545304	36.0810645
ADAM22	1.994137994	3.137081191	4.227249522	3.925097313	2.129600829	1.027950556
SYPL1	92.37551	90.35709767	95.65661775	69.44151329	63.0193719	59.44124088
CYB561	11.45651828	12.31934074	9.541506063	89.85201932	71.03339607	65.6860405
SPAG9	119.1986211	84.44930973	99.52153159	954.6490848	755.9522521	1007.751327
CELSR3	17.10657593	4.717070988	3.913225271	53.02152287	32.64453902	65.73743803
AASS	5.767359884	4.510985363	4.927765157	12.65843883	9.274972031	7.452641528
SS18L2	13.45065627	17.79205902	16.3051053	37.9753165	33.34506561	21.86964807
MPND	14.9951357	14.79236824	15.16978685	11.84071023	11.76884669	9.277253764
MGST1	50.1662558	67.3671012	51.66906701	34.73711122	40.46241575	41.19511851
CRY1	10.32259667	11.97586469	10.2420217	20.8357249	18.18567024	23.56576649
NFIX	20.29328664	22.80680924	21.40196043	10.99027248	8.434340125	6.835871194
ST3GAL1	49.77524835	47.12491308	45.60598341	32.05496139	37.3520777	64.09271714
MMP25	2.365595071	2.427230703	1.570121251	2.027966945	2.6900221	4.009007167
IL32	0.117302235	0.206085626	0.048311423	42.39105098	38.809173	30.65862532
PKD1	257.7325605	160.632296	165.8289598	77.03003476	85.71643336	73.24147708
MAPK8IP2	1.270774212	1.076224934	0.531425654	0.621473741	1.625221685	1.053649319
MED24	90.88968169	101.3254326	87.87847863	72.90868258	54.66909496	72.11073147
RHOBTB2	41.07533259	48.72780128	47.03117039	7.261430029	9.19090884	7.786725458
HEATR5B	46.15842944	32.42413844	42.32080664	26.62524344	31.29952797	50.03549329
SEC62	52.45364938	66.86333634	77.29827697	180.3255124	168.8829499	157.7647115
RPS20	778.1243753	737.0995879	761.5088067	639.7254437	649.163979	627.1526339
CSDE1	670.929683	641.4071624	769.2627901	942.0887734	950.1102014	823.6967802
UBE3C	96.48108822	104.6914979	104.2802068	127.0750255	133.632452	120.6042989
REV3L	66.7254213	66.40536828	60.48590173	172.9659549	166.9775176	156.2741832
TENM1	0.410557822	0.206085626	0.265712827	0.45792802	0.168126381	0.179891347
IYD	1.075270487	1.946364243	1.014539885	1.439202348	1.485116367	0.9251555
FAM76A	4.105578222	4.946055017	4.734519464	3.107368706	2.381790401	5.216849069
TRAF3IP3	22.03326979	14.67787623	20.72560051	2.649440686	2.633979973	4.137500986
POMT2	11.04596045	10.05239885	11.95707722	12.65843883	18.07358598	12.23261161
VTA1	63.96881878	77.16761762	81.50137078	68.16585666	63.88802487	59.13285571
MLXIPL	10.14664332	5.816194325	6.135550734	4.481152765	2.942211671	3.366538069
BAZ1B	113.7049664	138.7643213	150.6350172	161.6813001	150.4450901	156.299882
RANBP9	50.10760468	42.24755327	49.37427441	86.58110489	80.84076831	69.25816868
ETV7	1.368526074	0.412171251	0.652204212	2.420476676	1.765327003	3.546429417
SPRTN	13.23560217	18.34162069	15.55627824	26.88691659	26.36782079	29.03960319
EEF1AKNMT	43.08902096	60.1312059	54.3745067	28.03173664	29.14190608	27.57477365
DYRK4	1.935486876	2.24404348	1.618432674	0.654182885	0.700526588	0.513975278
ZNF207	267.2340415	280.1848573	293.685141	746.586218	720.3094593	524.6659636
UQCRC1	103.6951757	136.5431762	131.3346037	134.6962561	125.6184278	130.1642391
STARD3NL	32.92282727	32.46993525	36.76499298	82.29620699	69.57630076	59.36414458
CD9	2.482897306	0.938834517	0.531425654	4.317607044	2.521895718	7.298448944
NCAPD2	120.5671471	136.2225986	179.211224	22.11138153	23.87394613	33.43409182
IFFO1	40.56702291	42.91160695	34.59097894	4.97178993	4.59545442	6.219100861
GIPR	22.75663357	18.84538555	13.09239566	4.154061323	3.754822514	4.497283681
PHF7	12.51223839	10.4187733	13.67213274	1.733584646	2.269706147	2.364286278
SEMA3G	5.004895357	7.968644194	6.473730696	4.219479611	4.371285912	3.212345486
NISCH	111.1438676	104.5770058	100.5602272	73.07222831	68.11920546	62.34520119
FUZ	1.935486876	1.419700977	2.222325463	1.439202348	1.513137431	1.593323361
IDS	35.75763128	33.36297296	33.91461902	49.06371641	56.04212708	91.51329821
ZNF200	24.35976412	24.56998626	24.51804723	23.45245644	22.33278764	26.36693175
CD4	235.2105314	222.526679	226.5805744	153.5040141	146.9144361	148.3589639
LRRC23	2.287393581	1.511294588	1.908301213	1.570038925	2.157621892	3.058152903
BTK	124.0666638	114.7209983	111.9134116	33.13436315	39.98605767	42.37726165
HFE	2.600199541	1.305208963	2.246481174	2.714858975	2.718043163	2.287189986
SCMH1	254.9173069	237.9831009	222.7156605	208.4226673	188.3856102	171.539249
FYN	39.56995391	18.68509673	30.67775367	46.18531171	46.31881803	58.59318167
HIVEP2	19.84362807	6.686333634	8.599433312	941.5000088	981.6619189	1101.320526
ELOA	34.44775632	44.05652709	45.26780345	312.6667101	279.0617718	218.336698
LYPLA2	46.62763838	61.7111957	46.76545756	54.13363377	50.88625138	45.43541456
CLCN6	36.1681891	28.0276451	31.81307211	60.11940717	71.08943819	64.60669242
MRC2	409.2283969	374.0225122	313.8793159	260.6918799	277.1563395	273.7946305
NME1-NME2	13.68526074	25.09664953	24.78376005	9.87816157	6.612970995	6.707377375
TSPAN9	0.684263037	1.213615351	0.579737077	0.45792802	0.39229489	0.873757972
APBA3	14.33042303	13.57875289	14.54173835	42.91439729	33.76538156	32.14915363
MKS1	12.66864137	12.59412157	13.67213274	3.925097313	3.586696133	5.910715694
ABHD5	5.610956904	7.464879331	7.729827697	16.38728128	17.5972279	12.87508071
ANOS1	13.76346223	16.8074277	15.55627824	65.58183427	53.96856837	62.24240614
AKAP8L	69.16921786	62.67292862	70.55883344	190.7597294	195.1386865	173.055476
MBTD1	39.96096136	34.59948672	40.41250543	21.81699923	28.9737797	18.68300135
UTP18	47.50740514	50.69706392	47.58675176	20.27966945	22.72508253	21.5612629
RNF216	87.15556055	79.89252756	67.78092661	114.0240769	132.8478622	158.9725534
TTC19	18.8270087	16.14337401	15.38718826	30.77930476	27.85293716	27.67756871
PTBP1	293.0014325	396.9896103	440.5277116	374.7159568	399.104008	420.1490908
DPF1	0.488759312	0.96173292	0.990384174	0.654182885	0.784589779	0.9251555
LARS2	23.44089661	40.23249382	40.79899681	43.43774359	46.37486015	51.96290058
PIK3C2A	33.62664068	33.11109053	48.98778303	53.25048688	63.97208806	46.20637747
PLAUR	30.79183667	27.45518502	25.65336567	78.20756396	61.36612915	137.1286041
ANLN	97.30220387	112.9120245	129.1605897	101.3656381	75.37666092	68.79559093
WIZ	60.19559689	69.86302711	64.37497129	88.64178098	84.95986465	74.86049921
RABGAP1	18.02544343	19.32625201	24.39726867	36.99404217	35.92300346	44.07338007
DCN	0.821115644	0.435069654	0.193245692	1.733584646	0.95271616	1.516227069
QPCTL	20.54744148	15.89149158	13.14070708	9.223978685	6.108591851	11.20466106
PPP5C	82.15066519	95.66952713	89.93171411	36.83049645	35.97904558	43.1996221
CEP68	13.04009845	13.00629282	12.48850287	3.892388168	3.558675069	4.702873792
MAP4K3	12.45358727	11.01413177	15.87030249	41.70415895	39.98605767	37.16041258
TYROBP	85.16142255	87.51769571	72.75700319	64.17534106	64.84074103	79.2806866
TMEM159	7.761497877	7.899948985	6.981000638	4.121352178	2.886169544	3.623525708
BRCA1	108.4850169	110.9198634	133.9192648	32.44747112	35.1944558	46.56616017
ERCC1	70.26403872	64.64219126	54.30203957	33.00352657	36.39936154	36.64643731
CD22	1.036169742	0.732748891	0.603892789	0.785019463	0.672505525	1.002251792
SEMA3B	1.974587621	1.717380214	0.942072751	5.462427094	6.304739296	6.578883556
MBTPS2	15.95310395	16.34945964	18.52743076	21.65345351	22.55695615	25.18478861
PRICKLE3	10.40079816	12.54832476	12.10201149	12.46218397	10.95623584	10.74208331
EXTL3	31.24149523	29.08097163	33.40734908	47.33013176	45.73037569	40.50125189
ELOVL5	127.5075294	145.8857246	139.4267671	719.601174	686.7682462	606.0539488
ALOX5	15.32749203	8.357917042	3.744135291	2.093385233	2.577937845	6.4760885
KDM5D	191.1830925	127.8188847	118.4354537	187.5215241	190.9075059	140.8035273
CALCOCO1	31.37834784	14.76946984	24.51804723	15.01349722	27.04032631	15.39355957
MAP4K5	27.31187036	26.83692815	25.7258328	38.95659083	32.78464434	40.0643729
MAN2B2	72.19952559	77.09892242	89.11041991	44.8442368	48.28029248	46.00078736
SLC7A14	1.270774212	2.4043323	1.352719847	1.373784059	2.718043163	2.107298639
CLDN11	0.997068997	1.190716949	1.08700702	1.341074915	1.401053177	1.336335722
SLC25A39	101.9160918	144.4431252	109.2079719	51.77857538	49.20498757	49.80420442
MVP	76.73521201	79.73223874	63.31211998	39.02200912	37.54822514	45.28122197
NUB1	46.49078577	40.48437625	51.66906701	630.2070827	526.3476575	247.2735061
PGM3	24.18381077	25.14244634	18.69652074	24.62998564	43.2645221	16.88408788
RWDD2A	4.711639769	5.381124671	4.782830887	2.027966945	2.045537638	1.362034486
CLK1	68.074397	53.94863713	52.70776261	468.7874557	407.3982428	381.0612709
POLR3B	7.820148995	9.594430797	11.4981187	1.013983472	0.588442334	1.901708528
ANGEL1	20.23463552	20.17349292	19.59028207	14.81724236	20.87569234	22.61491222
RNF14	41.36858818	40.59886826	43.11794512	33.101654	35.27851899	32.99721283
DNASE1L1	25.0831279	27.86735628	21.08793618	10.23796216	8.490382252	10.20240926
DDX11	172.3756342	181.7446235	174.8873516	34.99878437	32.36432839	47.74830331
HEBP1	12.49268802	9.983703645	10.38695597	2.943822985	2.437832528	3.340839306
GPRC5A	1.153471977	1.007529726	0.6280485	1.14482005	1.092821478	1.310636958
MAMLD1	0.254154842	0.137390417	0.265712827	23.68142045	15.74783771	66.50840094
CD6	1.036169742	1.534192991	1.594276962	1.210238338	1.148863605	0.745264153
TACC3	214.2916328	265.9649492	256.7510581	20.99927062	22.9772721	40.96382964
UFL1	39.6481554	31.85167837	41.01639822	32.61101684	32.67256008	45.94938983
POLA2	38.98344274	56.35296943	60.34096746	14.39202348	14.0665739	23.71995907
ZC3H3	29.3451091	33.6606522	31.30580217	26.42898857	33.48517093	31.1726006
CAPN1	138.3384357	130.2919122	158.7271806	38.82575425	47.97206078	49.29022914
ACP3	23.01078842	23.76854216	18.59989789	4.677407631	5.211917818	6.553184792
MDH1	238.8860014	254.0119829	239.0449215	144.2473262	152.0703118	144.0672704
SLC30A9	65.29824411	67.71057724	87.73354436	88.90345413	91.62887777	84.90871589
MTMR11	35.34707346	24.79897029	27.70660115	131.6543057	110.9914327	96.67874975
COX15	37.947273	40.82785229	40.84730823	24.17205762	23.48165124	26.67531692
CCDC88C	25.49368572	21.20392104	19.42119209	12.29863825	16.81263812	15.21366822
YAF2	10.55720114	8.655596279	7.874761966	60.47920776	53.32408391	34.69333125
ZMYND11	44.24249294	47.3081003	49.59167582	45.89092942	50.46593543	42.45435794
WAS	102.6003548	104.7143963	97.90309892	51.68044795	55.70587431	56.64007561
DPEP1	1.935486876	0.870139309	0.77298277	0.359800587	0.420315953	0.282686403
BID	52.0821923	69.26766864	48.04571028	234.1320547	192.3926222	276.4673019
MATR3	235.2496321	284.5584523	304.7001455	493.4501505	450.4946385	441.8388475
NPC1L1	0.215054097	0.343476043	0.144934269	0.065418289	0.112084254	0.488276514
XYLT2	27.52692446	29.03517482	26.78868411	6.934338586	7.36953971	5.756523111
RGPD5	13.76346223	6.686333634	5.435035099	62.01653754	53.4081471	72.00793642
NUDCD3	46.58853764	55.41413491	56.01709509	20.57405175	23.67779869	33.22850171
ISL1	0.449658567	1.076224934	0.579737077	0.098127433	0	0.179891347
CHDH	2.737052148	2.72490994	2.318948309	0.752310318	0.700526588	0.976553028
GLT8D1	23.03033879	24.47839265	23.76922017	4.644698487	5.015770373	6.912967486
ATP2C1	60.254248	58.89469215	58.67422336	441.8351208	513.9343263	488.5848991
IGF1	0.410557822	0.389272849	0.338179962	0.850437751	0.588442334	1.284938194
SLC38A5	26.19749913	37.94265353	37.82784429	13.149076	11.79686775	14.54550036
RALBP1	88.09397842	86.21248675	97.13011615	89.29596387	103.3416823	77.89295335
RUFY3	4.789841259	5.220835851	5.000232291	8.635214088	6.304739296	7.478340292
CNTN1	1.212123094	1.167818546	1.062851308	1.668166358	0.504379144	0.693866625
SLC11A1	16.61781661	8.884580308	6.546197831	4.808244208	5.772339089	6.373293444
WWTR1	2.658850658	1.92346584	2.17401404	0.556055453	2.605958909	1.876009764
AGPS	48.11346669	57.63527999	66.01755967	59.00729627	71.3136067	55.04675225
CXorf56	20.23463552	23.10448848	20.96715763	41.83499553	42.31180594	32.56033385
ATP1A2	0.938417879	0.526663266	0.531425654	0.981274328	0.504379144	0.46257775
TTC27	12.2189828	21.18102264	21.08793618	51.7131571	53.0999154	36.51794349
ZNF582	1.368526074	1.900567437	2.101546905	1.733584646	0.532400207	1.027950556
PHLDB1	29.7752173	24.31810383	31.37826931	232.169506	139.0685383	358.9860328
MARCO	1.603130544	1.190716949	2.053235482	0.163545721	0.672505525	0.796661681
PRDM11	2.463346933	3.068385983	3.381799617	5.102626507	3.754822514	5.319644125
CD74	168.2309552	140.4130063	141.5524697	184.8720834	150.7813429	167.2989529
HGF	2.209192091	2.88519876	3.067775367	0.327091443	0.616463398	1.027950556
