"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0002634","regulation of germinal center formation","BP",8,3,4,0.509772210206764,0.280312624328446
"GO:0002636","positive regulation of germinal center formation","BP",2,1,1,0.543616888722218,0.56937436103573
"GO:0002682","regulation of immune system process","BP",1203,408,427,0.13563772541746,0.206962262983126
"GO:0002683","negative regulation of immune system process","BP",401,146,133,0.0490980673602745,0.714279032631178
"GO:0002684","positive regulation of immune system process","BP",844,280,296,0.33285072317221,0.34399843721975
"GO:0002685","regulation of leukocyte migration","BP",180,63,62,0.254031847244749,0.520593772825027
"GO:0002686","negative regulation of leukocyte migration","BP",42,18,13,0.102222230485237,0.732145571752761
"GO:0002694","regulation of leukocyte activation","BP",495,171,170,0.166983662467361,0.523623111909479
"GO:0002696","positive regulation of leukocyte activation","BP",318,111,104,0.187213837892998,0.755051000072704
"GO:0002757","immune response-activating signaling pathway","BP",373,117,141,0.691456100525668,0.0886330617991798
"GO:0002764","immune response-regulating signaling pathway","BP",392,128,147,0.483471392656315,0.10368503640572
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","BP",256,86,98,0.368495916671974,0.104612133793955
"GO:0002819","regulation of adaptive immune response","BP",179,69,57,0.0485254922006623,0.786265004209825
"GO:0002821","positive regulation of adaptive immune response","BP",112,47,36,0.0213149353465511,0.723196433976164
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",166,65,50,0.0395503616971791,0.893934901843445
"GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",107,45,34,0.0229213733903281,0.746759743404472
"GO:0002901","mature B cell apoptotic process","BP",4,1,2,0.791738640788091,0.425956672592409
"GO:0002902","regulation of B cell apoptotic process","BP",19,3,6,0.971300451179607,0.68330980665353
"GO:0002903","negative regulation of B cell apoptotic process","BP",14,2,6,0.968195762830234,0.340778847063482
"GO:0002905","regulation of mature B cell apoptotic process","BP",4,1,2,0.791738640788091,0.425956672592409
"GO:0002906","negative regulation of mature B cell apoptotic process","BP",4,1,2,0.791738640788091,0.425956672592409
"GO:0003008","system process","BP",1257,441,453,0.0206933583388164,0.10426003271139
"GO:0003012","muscle system process","BP",302,108,104,0.119244501209058,0.513066981367223
"GO:0003013","circulatory system process","BP",435,151,170,0.165228900711013,0.0213022672893767
"GO:0003015","heart process","BP",183,56,73,0.728635970390313,0.0678304649002365
"GO:0006139","nucleobase-containing compound metabolic process","BP",4779,1546,1680,0.571550953600665,0.09304349490191
"GO:0006144","purine nucleobase metabolic process","BP",18,4,11,0.883884169744956,0.0183881239744425
"GO:0006152","purine nucleoside catabolic process","BP",8,3,5,0.509772210206764,0.0989998493661784
"GO:0006154","adenosine catabolic process","BP",4,1,3,0.791738640788091,0.120577679452753
"GO:0006157","deoxyadenosine catabolic process","BP",3,0,3,1,0.040611530655107
"GO:0006163","purine nucleotide metabolic process","BP",397,121,136,0.815759158408105,0.539487513049299
"GO:0006164","purine nucleotide biosynthetic process","BP",228,72,72,0.634787350767751,0.832839309457247
"GO:0006167","AMP biosynthetic process","BP",13,3,5,0.846051428118258,0.480289673695844
"GO:0006177","GMP biosynthetic process","BP",13,2,6,0.955836901001497,0.267706033445812
"GO:0006195","purine nucleotide catabolic process","BP",48,13,22,0.828159485263284,0.0661224183825153
"GO:0006196","AMP catabolic process","BP",5,1,4,0.859320975224648,0.0505988395304509
"GO:0006725","cellular aromatic compound metabolic process","BP",4932,1593,1723,0.608149500702573,0.166686603490611
"GO:0006753","nucleoside phosphate metabolic process","BP",462,147,160,0.631682800381978,0.471185189111725
"GO:0006793","phosphorus metabolic process","BP",2156,741,729,0.0218123862467958,0.730608317553847
"GO:0006796","phosphate-containing compound metabolic process","BP",2132,732,724,0.0245602448706344,0.676692714877082
"GO:0006805","xenobiotic metabolic process","BP",76,17,30,0.980218959882978,0.205931920699232
"GO:0006807","nitrogen compound metabolic process","BP",7851,2614,2742,0.0136187077774215,0.0814599262934121
"GO:0006810","transport","BP",3574,1249,1294,0.000174459793459046,0.00502932424354592
"GO:0006915","apoptotic process","BP",1569,519,520,0.295041753044148,0.866684354941684
"GO:0006936","muscle contraction","BP",234,86,81,0.0898128531503338,0.493985291366
"GO:0006937","regulation of muscle contraction","BP",112,41,40,0.198606055410609,0.417251403173326
"GO:0006939","smooth muscle contraction","BP",75,31,24,0.0656388043322225,0.707800581888425
"GO:0006940","regulation of smooth muscle contraction","BP",42,16,14,0.26443771490972,0.613738621255641
"GO:0006950","response to stress","BP",3162,1080,1143,0.0119070571165486,0.0105822754924564
"GO:0006952","defense response","BP",1312,436,472,0.271854097230096,0.107678534714487
"GO:0006954","inflammatory response","BP",634,216,214,0.197635742745572,0.646479323469356
"GO:0006955","immune response","BP",1298,439,464,0.141489956796508,0.146366852945789
"GO:0007154","cell communication","BP",4651,1567,1629,0.0168423183144492,0.140349475410217
"GO:0007155","cell adhesion","BP",1151,393,394,0.106785670698484,0.554597264333976
"GO:0007159","leukocyte cell-cell adhesion","BP",346,115,125,0.394792113410082,0.261453510904189
"GO:0007165","signal transduction","BP",4250,1440,1477,0.0106754346229234,0.280740502558154
"GO:0007166","cell surface receptor signaling pathway","BP",2118,698,741,0.302757107380996,0.271409654440721
"GO:0007186","G protein-coupled receptor signaling pathway","BP",490,171,167,0.129646835295886,0.572743900025157
"GO:0007275","multicellular organism development","BP",3556,1212,1263,0.00984747915895233,0.0554209785794948
"GO:0007589","body fluid secretion","BP",62,21,26,0.452113329143816,0.13163257546576
"GO:0007610","behavior","BP",440,155,166,0.113064979257897,0.0744014985953043
"GO:0007617","mating behavior","BP",19,4,11,0.909070076827159,0.0302899089079605
"GO:0007620","copulation","BP",11,1,7,0.986643634218244,0.0455245164491938
"GO:0008015","blood circulation","BP",362,122,148,0.320812552989791,0.00535017838016002
"GO:0008016","regulation of heart contraction","BP",145,44,60,0.733910493089913,0.0463895284934868
"GO:0008152","metabolic process","BP",9164,3045,3213,0.00848433353486745,0.0202419665397104
"GO:0008219","cell death","BP",1633,538,543,0.333140824005892,0.849900181870639
"GO:0008277","regulation of G protein-coupled receptor signaling pathway","BP",97,27,37,0.860721062435667,0.24760471945216
"GO:0008283","cell population proliferation","BP",2538,846,899,0.154268685714926,0.118808850849854
"GO:0008284","positive regulation of cell population proliferation","BP",974,323,346,0.32208833250231,0.228637449397973
"GO:0009056","catabolic process","BP",2210,760,760,0.0192942639634664,0.503667344258593
"GO:0009058","biosynthetic process","BP",6394,2094,2249,0.25730304648595,0.0450528112288646
"GO:0009112","nucleobase metabolic process","BP",33,11,17,0.521766483651479,0.0316368940703608
"GO:0009113","purine nucleobase biosynthetic process","BP",10,2,5,0.885176083734816,0.234937408875065
"GO:0009116","nucleoside metabolic process","BP",49,10,27,0.978485936002983,0.00229863244094755
"GO:0009117","nucleotide metabolic process","BP",455,144,157,0.660253877906298,0.494633431658777
"GO:0009119","ribonucleoside metabolic process","BP",30,3,17,0.999108611630391,0.0101074472802858
"GO:0009120","deoxyribonucleoside metabolic process","BP",11,4,6,0.501829569108526,0.138297966036038
"GO:0009123","nucleoside monophosphate metabolic process","BP",70,23,33,0.515452338117728,0.0181972387433047
"GO:0009124","nucleoside monophosphate biosynthetic process","BP",38,14,14,0.336243347367874,0.43386865846351
"GO:0009125","nucleoside monophosphate catabolic process","BP",17,6,10,0.490715963748094,0.0337857758378676
"GO:0009126","purine nucleoside monophosphate metabolic process","BP",40,8,22,0.972485857993718,0.00587167060062945
"GO:0009127","purine nucleoside monophosphate biosynthetic process","BP",20,6,7,0.672952769403344,0.560260626380964
"GO:0009128","purine nucleoside monophosphate catabolic process","BP",10,2,8,0.885176083734816,0.00423238804664132
"GO:0009141","nucleoside triphosphate metabolic process","BP",165,53,47,0.564675567346466,0.95559790038506
"GO:0009143","nucleoside triphosphate catabolic process","BP",10,3,3,0.67966629405749,0.724783946145907
"GO:0009144","purine nucleoside triphosphate metabolic process","BP",150,47,42,0.644431635442855,0.960722337204337
"GO:0009146","purine nucleoside triphosphate catabolic process","BP",5,2,1,0.521409303041864,0.878340351966201
"GO:0009150","purine ribonucleotide metabolic process","BP",318,98,110,0.752343352687059,0.488987619817701
"GO:0009151","purine deoxyribonucleotide metabolic process","BP",16,5,9,0.632664050095048,0.060147892992975
"GO:0009152","purine ribonucleotide biosynthetic process","BP",194,64,62,0.462061252001285,0.784154858627776
"GO:0009154","purine ribonucleotide catabolic process","BP",40,10,19,0.882071961227355,0.0589851607079652
"GO:0009155","purine deoxyribonucleotide catabolic process","BP",10,3,6,0.67966629405749,0.0876942662613955
"GO:0009156","ribonucleoside monophosphate biosynthetic process","BP",32,12,11,0.329951602347749,0.566306875634531
"GO:0009158","ribonucleoside monophosphate catabolic process","BP",14,5,8,0.495726151567024,0.0682390037383781
"GO:0009159","deoxyribonucleoside monophosphate catabolic process","BP",13,4,8,0.652635796480064,0.0415310240932147
"GO:0009161","ribonucleoside monophosphate metabolic process","BP",55,17,26,0.645282828917675,0.0323962892149332
"GO:0009162","deoxyribonucleoside monophosphate metabolic process","BP",22,7,13,0.604188253256162,0.0152596256732925
"GO:0009163","nucleoside biosynthetic process","BP",17,4,10,0.852811624640553,0.0337857758378676
"GO:0009164","nucleoside catabolic process","BP",22,6,10,0.768041928653766,0.190645802030766
"GO:0009165","nucleotide biosynthetic process","BP",262,87,83,0.418135150174675,0.839439577315202
"GO:0009166","nucleotide catabolic process","BP",70,19,30,0.859952867402603,0.0866744325755666
"GO:0009167","purine ribonucleoside monophosphate metabolic process","BP",38,7,21,0.982672362222835,0.00655327942452543
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","BP",18,5,6,0.744057716775144,0.624093564319258
"GO:0009169","purine ribonucleoside monophosphate catabolic process","BP",10,2,8,0.885176083734816,0.00423238804664132
"GO:0009170","purine deoxyribonucleoside monophosphate metabolic process","BP",10,1,9,0.980223776453518,0.000461347117638989
"GO:0009172","purine deoxyribonucleoside monophosphate catabolic process","BP",6,0,6,1,0.00164758376889162
"GO:0009200","deoxyribonucleoside triphosphate metabolic process","BP",8,3,3,0.509772210206764,0.557247556175828
"GO:0009204","deoxyribonucleoside triphosphate catabolic process","BP",5,2,1,0.521409303041864,0.878340351966201
"GO:0009215","purine deoxyribonucleoside triphosphate metabolic process","BP",6,2,3,0.631050312932741,0.340365219639168
"GO:0009217","purine deoxyribonucleoside triphosphate catabolic process","BP",4,2,1,0.39157864928938,0.81458504719227
"GO:0009259","ribonucleotide metabolic process","BP",337,110,115,0.489513079653428,0.559912652570778
"GO:0009260","ribonucleotide biosynthetic process","BP",208,72,66,0.272821476628441,0.810662099622673
"GO:0009261","ribonucleotide catabolic process","BP",46,14,20,0.667627508487441,0.126686146830832
"GO:0009262","deoxyribonucleotide metabolic process","BP",41,12,19,0.721798993918227,0.0755077025641578
"GO:0009264","deoxyribonucleotide catabolic process","BP",27,8,13,0.691020834089047,0.0977803781057098
"GO:0009394","2'-deoxyribonucleotide metabolic process","BP",40,11,19,0.797059949803514,0.0589851607079652
"GO:0009410","response to xenobiotic stimulus","BP",302,98,109,0.520829382504908,0.282141903031652
"GO:0009605","response to external stimulus","BP",2007,679,692,0.0822389713820305,0.468132221111844
"GO:0009628","response to abiotic stimulus","BP",904,304,334,0.227188243224788,0.0513457829592644
"GO:0009653","anatomical structure morphogenesis","BP",2026,677,730,0.165247055034147,0.049909499415405
"GO:0009790","embryo development","BP",903,309,308,0.128174596773949,0.582163394066813
"GO:0009792","embryo development ending in birth or egg hatching","BP",551,190,190,0.160093795961926,0.495196839622753
"GO:0009888","tissue development","BP",1466,503,504,0.058529377483436,0.50970363981482
"GO:0009966","regulation of signal transduction","BP",2447,822,862,0.0983740825536085,0.174615148003533
"GO:0009967","positive regulation of signal transduction","BP",1262,439,446,0.0350010195074688,0.235598644458319
"GO:0009968","negative regulation of signal transduction","BP",1058,359,362,0.150296582862165,0.557526667605289
"GO:0009987","cellular process","BP",12504,4180,4396,9.00851218089193e-07,0.000103892553761783
"GO:0010033","response to organic substance","BP",2174,725,753,0.172689449650527,0.400874786545129
"GO:0010035","response to inorganic substance","BP",414,126,149,0.82544835017778,0.257670520910338
"GO:0010243","response to organonitrogen compound","BP",824,273,291,0.345288830278885,0.292261610776444
"GO:0010460","positive regulation of heart rate","BP",17,4,6,0.852811624640553,0.558921362109992
"GO:0010646","regulation of cell communication","BP",2740,920,972,0.0862919068749365,0.0966027157043493
"GO:0010647","positive regulation of cell communication","BP",1407,490,497,0.0250905612522352,0.225665534173855
"GO:0010648","negative regulation of cell communication","BP",1126,387,384,0.0815964258418511,0.591008594072863
"GO:0010720","positive regulation of cell development","BP",359,142,107,0.00244992336724599,0.972343173173305
"GO:0012501","programmed cell death","BP",1629,535,542,0.368043783458936,0.845289274053458
"GO:0014070","response to organic cyclic compound","BP",697,230,243,0.388626912001564,0.405404526459796
"GO:0014074","response to purine-containing compound","BP",113,35,45,0.66488384007141,0.131043479894791
"GO:0016477","cell migration","BP",1178,408,402,0.0515423782274363,0.586088517342786
"GO:0018130","heterocycle biosynthetic process","BP",3400,1114,1191,0.333494907157558,0.189769782138548
"GO:0019098","reproductive behavior","BP",24,8,11,0.539339722466536,0.166185523345932
"GO:0019438","aromatic compound biosynthetic process","BP",3399,1115,1190,0.313946026262911,0.197020725943369
"GO:0019439","aromatic compound catabolic process","BP",430,136,160,0.660230809384643,0.115172292179453
"GO:0019637","organophosphate metabolic process","BP",827,257,299,0.815582480481916,0.143120821592373
"GO:0019692","deoxyribose phosphate metabolic process","BP",41,12,19,0.721798993918227,0.0755077025641578
"GO:0019693","ribose phosphate metabolic process","BP",344,114,117,0.410259273397857,0.577672881949095
"GO:0019722","calcium-mediated signaling","BP",152,47,58,0.685021020884451,0.183564902034798
"GO:0019932","second-messenger-mediated signaling","BP",218,68,85,0.678350852885137,0.0859181821351546
"GO:0022407","regulation of cell-cell adhesion","BP",400,130,148,0.50930538976639,0.143610032381699
"GO:0022409","positive regulation of cell-cell adhesion","BP",268,91,99,0.318067039221972,0.203841687082818
"GO:0022414","reproductive process","BP",1045,381,368,0.00248728218332309,0.288421996830807
"GO:0022603","regulation of anatomical structure morphogenesis","BP",713,250,255,0.0691853022581734,0.22401354557899
"GO:0023051","regulation of signaling","BP",2744,921,974,0.0885199863856206,0.0921234242986178
"GO:0023052","signaling","BP",4581,1543,1604,0.0184922842602677,0.146955503540513
"GO:0023056","positive regulation of signaling","BP",1413,493,497,0.0218681597629621,0.263900293856806
"GO:0023057","negative regulation of signaling","BP",1128,387,387,0.0883636319809346,0.531742522994867
"GO:0030097","hemopoiesis","BP",788,277,267,0.0526873505113305,0.630862900741524
"GO:0030098","lymphocyte differentiation","BP",355,126,117,0.118751038990101,0.733047939779039
"GO:0030154","cell differentiation","BP",3226,1086,1145,0.0517877370179043,0.071425708204216
"GO:0030155","regulation of cell adhesion","BP",643,211,234,0.433652791942588,0.145814421610392
"GO:0030183","B cell differentiation","BP",122,37,42,0.722532629645353,0.529610737870608
"GO:0030217","T cell differentiation","BP",261,98,90,0.0449331703951079,0.509071277855556
"GO:0030323","respiratory tube development","BP",153,46,67,0.76201578752569,0.00952966188807627
"GO:0030324","lung development","BP",149,45,64,0.748332904754416,0.0177991461808835
"GO:0030334","regulation of cell migration","BP",756,259,269,0.146436862905209,0.249223090679177
"GO:0030336","negative regulation of cell migration","BP",240,83,84,0.258313985855549,0.443130575015503
"GO:0030888","regulation of B cell proliferation","BP",53,18,16,0.457530686122833,0.782769826620838
"GO:0030890","positive regulation of B cell proliferation","BP",37,10,11,0.809264621267833,0.776616203167754
"GO:0031347","regulation of defense response","BP",627,205,219,0.46062964592227,0.398472291535753
"GO:0031348","negative regulation of defense response","BP",231,85,69,0.0890550520348445,0.937301106919964
"GO:0032101","regulation of response to external stimulus","BP",858,280,302,0.464433551935286,0.313541546215548
"GO:0032102","negative regulation of response to external stimulus","BP",343,124,108,0.0780710004452613,0.884716543057007
"GO:0032261","purine nucleotide salvage","BP",10,4,3,0.41642145619552,0.724783946145907
"GO:0032263","GMP salvage","BP",4,1,2,0.791738640788091,0.425956672592409
"GO:0032501","multicellular organismal process","BP",5325,1802,1930,0.00435605356424085,0.000270736833780857
"GO:0032502","developmental process","BP",4825,1610,1734,0.0535931693258991,0.00357679991513458
"GO:0032504","multicellular organism reproduction","BP",644,240,233,0.00466327671682833,0.173368284603377
"GO:0032879","regulation of localization","BP",1683,573,625,0.0732103998673544,0.00663416492996428
"GO:0032941","secretion by tissue","BP",27,11,10,0.233600420050056,0.456427747711849
"GO:0032943","mononuclear cell proliferation","BP",251,91,86,0.109645150261601,0.539237999627248
"GO:0032944","regulation of mononuclear cell proliferation","BP",200,70,69,0.240256802404857,0.512115565419959
"GO:0032946","positive regulation of mononuclear cell proliferation","BP",125,41,39,0.499670564524688,0.800180202003567
"GO:0033077","T cell differentiation in thymus","BP",72,29,24,0.0987396354777288,0.617572807523379
"GO:0033081","regulation of T cell differentiation in thymus","BP",22,6,11,0.768041928653766,0.0955850245471423
"GO:0033089","positive regulation of T cell differentiation in thymus","BP",8,4,2,0.240615238909006,0.821543618024194
"GO:0033627","cell adhesion mediated by integrin","BP",70,23,17,0.515452338117728,0.974523364024411
"GO:0033628","regulation of cell adhesion mediated by integrin","BP",39,14,10,0.379046552940665,0.909132650180133
"GO:0033631","cell-cell adhesion mediated by integrin","BP",14,2,4,0.968195762830234,0.764904741328833
"GO:0033632","regulation of cell-cell adhesion mediated by integrin","BP",8,1,3,0.956647353694726,0.557247556175828
"GO:0034404","nucleobase-containing small molecule biosynthetic process","BP",17,4,10,0.852811624640553,0.0337857758378676
"GO:0034641","cellular nitrogen compound metabolic process","BP",5296,1726,1853,0.396881617301559,0.131552541949333
"GO:0034654","nucleobase-containing compound biosynthetic process","BP",3333,1090,1167,0.36696813064493,0.19881202085584
"GO:0034655","nucleobase-containing compound catabolic process","BP",389,122,151,0.695264869862733,0.0358556601369296
"GO:0034656","nucleobase-containing small molecule catabolic process","BP",26,8,11,0.644128223531486,0.25557070434825
"GO:0035295","tube development","BP",856,280,320,0.445132284357918,0.0316724615070057
"GO:0035556","intracellular signal transduction","BP",2236,761,764,0.0445658867776717,0.597033667722684
"GO:0035588","G protein-coupled purinergic receptor signaling pathway","BP",9,3,3,0.600692842698899,0.648116307395431
"GO:0035590","purinergic nucleotide receptor signaling pathway","BP",20,5,7,0.828265101114475,0.560260626380964
"GO:0036293","response to decreased oxygen levels","BP",253,96,85,0.0359009699853763,0.626963969480426
"GO:0040011","locomotion","BP",959,331,331,0.0847814886670014,0.475661733522792
"GO:0040012","regulation of locomotion","BP",831,282,291,0.182607420714781,0.3576128625465
"GO:0040013","negative regulation of locomotion","BP",278,96,99,0.245199474967418,0.352402611695282
"GO:0042100","B cell proliferation","BP",70,27,21,0.165830161347022,0.81489316921266
"GO:0042110","T cell activation","BP",468,163,172,0.14280915258614,0.147386389287328
"GO:0042113","B cell activation","BP",233,71,78,0.762260554914666,0.638578086697778
"GO:0042127","regulation of cell population proliferation","BP",1722,573,623,0.225613644408715,0.0512417949331464
"GO:0042221","response to chemical","BP",2759,921,955,0.129003795897427,0.394847802013424
"GO:0042278","purine nucleoside metabolic process","BP",24,4,15,0.975545865339722,0.00449625706342759
"GO:0042451","purine nucleoside biosynthetic process","BP",11,2,7,0.916025198806252,0.0455245164491938
"GO:0042454","ribonucleoside catabolic process","BP",17,2,9,0.988376764416953,0.0898052747924706
"GO:0042455","ribonucleoside biosynthetic process","BP",11,2,7,0.916025198806252,0.0455245164491938
"GO:0042592","homeostatic process","BP",1299,466,444,0.0034411167779335,0.572744015657281
"GO:0042981","regulation of apoptotic process","BP",1193,401,393,0.193599545524652,0.867678047279684
"GO:0043009","chordate embryonic development","BP",535,184,185,0.175423026611674,0.476676752389979
"GO:0043066","negative regulation of apoptotic process","BP",705,244,240,0.112562294289163,0.590119506556162
"GO:0043067","regulation of programmed cell death","BP",1231,412,407,0.221023701647385,0.850968888524022
"GO:0043069","negative regulation of programmed cell death","BP",730,253,248,0.103045043064786,0.607014810687084
"GO:0043084","penile erection","BP",6,1,4,0.90497510768303,0.110726659033245
"GO:0043094","cellular metabolic compound salvage","BP",28,10,12,0.424348030876421,0.225138322798367
"GO:0043096","purine nucleobase salvage","BP",3,1,1,0.691698642913413,0.717427953542304
"GO:0043101","purine-containing compound salvage","BP",14,4,6,0.71539965444528,0.340778847063482
"GO:0043103","hypoxanthine salvage","BP",2,1,1,0.543616888722218,0.56937436103573
"GO:0043173","nucleotide salvage","BP",16,6,5,0.422544781955426,0.692723682382048
"GO:0043603","amide metabolic process","BP",1040,346,370,0.289039972172373,0.209255134373691
"GO:0043605","amide catabolic process","BP",16,3,7,0.931649115703865,0.292981472476341
"GO:0044057","regulation of system process","BP",378,136,133,0.0772270577405141,0.387859552077274
"GO:0044209","AMP salvage","BP",5,1,2,0.859320975224648,0.559563828096545
"GO:0044237","cellular metabolic process","BP",8144,2696,2840,0.0381925708232,0.0960247922393439
"GO:0044238","primary metabolic process","BP",8259,2746,2899,0.014138964581934,0.0260879753386144
"GO:0044248","cellular catabolic process","BP",1339,432,474,0.569184051440501,0.213948901449791
"GO:0044249","cellular biosynthetic process","BP",6286,2061,2210,0.2346885008081,0.0507952354869466
"GO:0044270","cellular nitrogen compound catabolic process","BP",419,130,162,0.750800578438546,0.0352767791113945
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",4051,1336,1414,0.205939280402408,0.213117985476261
"GO:0044281","small molecule metabolic process","BP",1524,498,527,0.428983087818982,0.440660078959926
"GO:0044282","small molecule catabolic process","BP",319,112,100,0.166655057917673,0.88737334653529
"GO:0044283","small molecule biosynthetic process","BP",483,165,165,0.220152678181397,0.557674630087276
"GO:0045321","leukocyte activation","BP",787,266,278,0.213216390550417,0.295525850298004
"GO:0045580","regulation of T cell differentiation","BP",150,48,59,0.576982571008813,0.11619494252565
"GO:0045582","positive regulation of T cell differentiation","BP",101,38,36,0.15648430070762,0.430856606455948
"GO:0045595","regulation of cell differentiation","BP",1219,417,430,0.0911282673921042,0.2558978446241
"GO:0045597","positive regulation of cell differentiation","BP",667,245,214,0.00929463515864917,0.906146909850764
"GO:0045619","regulation of lymphocyte differentiation","BP",178,55,66,0.697060243076436,0.24576796655205
"GO:0045621","positive regulation of lymphocyte differentiation","BP",115,43,39,0.149885558279634,0.576793558930053
"GO:0045744","negative regulation of G protein-coupled receptor signaling pathway","BP",39,11,19,0.766418567804528,0.0451440061695252
"GO:0045785","positive regulation of cell adhesion","BP",397,138,140,0.172345906254057,0.371415493033331
"GO:0045823","positive regulation of heart contraction","BP",25,9,9,0.424456881644929,0.506890397251106
"GO:0045933","positive regulation of muscle contraction","BP",28,11,6,0.278584825502378,0.954798600868295
"GO:0045987","positive regulation of smooth muscle contraction","BP",19,7,3,0.423724422000133,0.980704840034461
"GO:0046033","AMP metabolic process","BP",22,5,11,0.888404854899265,0.0955850245471423
"GO:0046037","GMP metabolic process","BP",25,4,14,0.981475253418305,0.0216010233822103
"GO:0046053","dAMP metabolic process","BP",7,1,6,0.935815109010569,0.00813711142159725
"GO:0046059","dAMP catabolic process","BP",4,0,4,1,0.0139561477225584
"GO:0046060","dATP metabolic process","BP",3,0,2,1,0.273267176022581
"GO:0046061","dATP catabolic process","BP",2,0,1,1,0.56937436103573
"GO:0046085","adenosine metabolic process","BP",8,1,7,0.956647353694726,0.00316706474326144
"GO:0046090","deoxyadenosine metabolic process","BP",3,0,3,1,0.040611530655107
"GO:0046100","hypoxanthine metabolic process","BP",4,1,3,0.791738640788091,0.120577679452753
"GO:0046101","hypoxanthine biosynthetic process","BP",3,1,2,0.691698642913413,0.273267176022581
"GO:0046102","inosine metabolic process","BP",5,1,4,0.859320975224648,0.0505988395304509
"GO:0046103","inosine biosynthetic process","BP",3,1,2,0.691698642913413,0.273267176022581
"GO:0046110","xanthine metabolic process","BP",2,0,2,1,0.118163412444265
"GO:0046111","xanthine biosynthetic process","BP",1,0,1,1,0.343768886739998
"GO:0046112","nucleobase biosynthetic process","BP",18,8,6,0.199101212827367,0.624093564319258
"GO:0046121","deoxyribonucleoside catabolic process","BP",6,2,4,0.631050312932741,0.110726659033245
"GO:0046122","purine deoxyribonucleoside metabolic process","BP",5,0,5,1,0.0047954747705853
"GO:0046124","purine deoxyribonucleoside catabolic process","BP",4,0,4,1,0.0139561477225584
"GO:0046128","purine ribonucleoside metabolic process","BP",19,3,12,0.971300451179607,0.00973228038642931
"GO:0046129","purine ribonucleoside biosynthetic process","BP",11,2,7,0.916025198806252,0.0455245164491938
"GO:0046130","purine ribonucleoside catabolic process","BP",6,2,4,0.631050312932741,0.110726659033245
"GO:0046386","deoxyribose phosphate catabolic process","BP",27,8,13,0.691020834089047,0.0977803781057098
